"var","hr","pval","hr_ci95"
"nmdfs_n_decayed",1,"5.02e-01","1 to 1"
"age.cat>=65",15.9,"1.33e-04","3.9 to 66"
"gendermale",1.1,"8.59e-01","0.3 to 3.9"
"tnm_stageII",1.7,"6.36e-01","0.2 to 14"
"tnm_stageIII",1.6,"6.12e-01","0.3 to 10.4"
"tnm_stageIV",6.3,"4.36e-02","1.1 to 37.4"
"nmdfs_frac_decayed",0.3,"5.27e-02","0.1 to 1"
"age.cat>=65",21.5,"3.12e-05","5.1 to 90.9"
"gendermale",0.9,"8.51e-01","0.2 to 3.2"
"tnm_stageII",2.3,"4.40e-01","0.3 to 17.8"
"tnm_stageIII",1.7,"5.78e-01","0.3 to 10.4"
"tnm_stageIV",9.1,"1.53e-02","1.5 to 53.8"
"nmdfs_med",0.8,"1.57e-01","0.5 to 1.1"
"age.cat>=65",18.3,"6.71e-05","4.4 to 76.2"
"gendermale",0.9,"9.04e-01","0.3 to 3.3"
"tnm_stageII",1.9,"5.40e-01","0.2 to 15.3"
"tnm_stageIII",1.5,"6.76e-01","0.2 to 9.6"
"tnm_stageIV",7.3,"2.88e-02","1.2 to 43.1"
"nmdfs_med.wt",0.8,"1.61e-01","0.5 to 1.1"
"age.cat>=65",18.3,"6.96e-05","4.4 to 76.9"
"gendermale",0.9,"9.02e-01","0.3 to 3.3"
"tnm_stageII",1.9,"5.46e-01","0.2 to 15.2"
"tnm_stageIII",1.5,"6.88e-01","0.2 to 9.5"
"tnm_stageIV",7.1,"3.02e-02","1.2 to 42.3"
"nmdfs_mean",0.8,"1.58e-01","0.5 to 1.1"
"age.cat>=65",18.3,"6.59e-05","4.4 to 76.5"
"gendermale",0.9,"9.07e-01","0.3 to 3.3"
"tnm_stageII",1.9,"5.40e-01","0.2 to 15.3"
"tnm_stageIII",1.5,"6.75e-01","0.2 to 9.6"
"tnm_stageIV",7.3,"2.86e-02","1.2 to 43.2"
"nmdfs_mean.wt",0.8,"1.67e-01","0.5 to 1.1"
"age.cat>=65",18.3,"7.05e-05","4.4 to 76.9"
"gendermale",0.9,"9.05e-01","0.3 to 3.3"
"tnm_stageII",1.9,"5.48e-01","0.2 to 15.2"
"tnm_stageIII",1.5,"6.88e-01","0.2 to 9.5"
"tnm_stageIV",7.1,"3.06e-02","1.2 to 42.1"
"nmdns_max",1,"7.24e-01","0.9 to 1.1"
