"var","hr","pval","hr_ci95"
"nmdptc_frac_decayed.catmed",0.8,"4.88e-01","0.5 to 1.5"
"nmdptc_frac_decayed.cathigh",1,"8.44e-01","0.7 to 1.5"
"age.cat>=65",1.5,"1.40e-02","1.1 to 2.1"
"nmdptc_med.catmed",0.8,"2.03e-01","0.5 to 1.2"
"nmdptc_med.cathigh",0.9,"6.40e-01","0.6 to 1.4"
"age.cat>=65",1.5,"1.66e-02","1.1 to 2.1"
"nmdptc_med.wt.catmed",0.8,"1.64e-01","0.5 to 1.1"
"nmdptc_med.wt.cathigh",0.9,"5.96e-01","0.6 to 1.4"
"age.cat>=65",1.5,"1.56e-02","1.1 to 2.1"
"nmdptc_mean.catmed",0.8,"4.39e-01","0.6 to 1.3"
"nmdptc_mean.cathigh",1,"8.43e-01","0.6 to 1.5"
"age.cat>=65",1.5,"2.16e-02","1.1 to 2.1"
"nmdptc_mean.wt.catmed",0.7,"1.47e-01","0.5 to 1.1"
"nmdptc_mean.wt.cathigh",0.9,"5.14e-01","0.6 to 1.3"
"age.cat>=65",1.5,"1.58e-02","1.1 to 2.1"
"nmdfs_max.catmed",0.9,"7.92e-01","0.5 to 1.7"
"nmdfs_max.cathigh",1.3,"2.41e-01","0.9 to 1.8"
"age.cat>=65",1.5,"2.41e-02","1.1 to 2.1"
"nmdfs_n_decayed.catmed",0.9,"7.16e-01","0.5 to 1.7"
"nmdfs_n_decayed.cathigh",1.3,"2.36e-01","0.9 to 1.8"
"age.cat>=65",1.5,"1.97e-02","1.1 to 2.1"
"nmdfs_frac_decayed.catmed",NA," NA","NA to NA"
"nmdfs_frac_decayed.cathigh",0.8,"2.75e-01","0.5 to 1.2"
"age.cat>=65",1.5,"1.48e-02","1.1 to 2.1"
"nmdfs_med.catmed",0.9,"8.03e-01","0.5 to 1.6"
"nmdfs_med.cathigh",1.2,"3.21e-01","0.8 to 1.8"
"age.cat>=65",1.5,"2.19e-02","1.1 to 2.1"
"nmdfs_med.wt.catmed",0.6,"1.02e-01","0.4 to 1.1"
"nmdfs_med.wt.cathigh",1,"8.53e-01","0.7 to 1.5"
"age.cat>=65",1.5,"1.87e-02","1.1 to 2.1"
"nmdfs_mean.catmed",0.8,"4.86e-01","0.5 to 1.4"
"nmdfs_mean.cathigh",1.2,"4.68e-01","0.8 to 1.7"
"age.cat>=65",1.5,"2.70e-02","1 to 2.1"
"nmdfs_mean.wt.catmed",0.6,"1.02e-01","0.4 to 1.1"
"nmdfs_mean.wt.cathigh",1,"8.53e-01","0.7 to 1.5"
"age.cat>=65",1.5,"1.87e-02","1.1 to 2.1"
"nmdns_max.catmed",0.9,"6.29e-01","0.6 to 1.4"
"nmdns_max.cathigh",1.1,"6.11e-01","0.7 to 1.7"
"age.cat>=65",1.5,"1.74e-02","1.1 to 2.1"
"nmdns_n_decayed.catmed",1.2,"4.24e-01","0.7 to 2"
"nmdns_n_decayed.cathigh",1.2,"2.39e-01","0.9 to 1.8"
"age.cat>=65",1.5,"1.29e-02","1.1 to 2.2"
"nmdns_frac_decayed.catmed",1.2,"6.76e-01","0.5 to 2.7"
"nmdns_frac_decayed.cathigh",1.3,"1.36e-01","0.9 to 1.9"
"age.cat>=65",1.5,"1.25e-02","1.1 to 2.2"
"nmdns_med.catmed",1.1,"5.43e-01","0.7 to 1.8"
"nmdns_med.cathigh",1.3,"2.31e-01","0.9 to 1.9"
"age.cat>=65",1.5,"1.26e-02","1.1 to 2.2"
"nmdns_med.wt.catmed",1,"8.25e-01","0.6 to 1.5"
"nmdns_med.wt.cathigh",1.2,"4.68e-01","0.8 to 1.7"
"age.cat>=65",1.5,"1.28e-02","1.1 to 2.2"
"nmdns_mean.catmed",1.1,"6.93e-01","0.7 to 1.7"
"nmdns_mean.cathigh",1.3,"2.84e-01","0.8 to 1.9"
"age.cat>=65",1.5,"1.27e-02","1.1 to 2.2"
"nmdns_mean.wt.catmed",0.9,"6.38e-01","0.6 to 1.4"
"nmdns_mean.wt.cathigh",1.1,"5.72e-01","0.7 to 1.7"
"age.cat>=65",1.5,"1.20e-02","1.1 to 2.2"
