"var","hr","pval","hr_ci95"
"PDL1.cathigh",1.2,"4.33e-01","0.8 to 1.9"
"IL10_cna",1,"8.40e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.40e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.14e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.56e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.62e-01","0.8 to 1.9"
"IL10_mut",1.3,"6.03e-01","0.5 to 3.6"
"age.cat>=65",1.5,"1.23e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"9.86e-04","0.4 to 0.8"
"PDL1.catmed",0.7,"3.94e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.39e-01","0.8 to 1.9"
"IRF6_cna",1,"7.75e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.38e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.65e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.32e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.57e-01","0.8 to 1.9"
"DNMT3A_cna",0.8,"6.06e-02","0.6 to 1"
"age.cat>=65",1.6,"1.09e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"7.38e-04","0.4 to 0.8"
"PDL1.catmed",0.6,"2.74e-02","0.4 to 1"
"PDL1.cathigh",1.1,"5.56e-01","0.7 to 1.8"
"SOS1_cna",0.9,"2.28e-01","0.7 to 1.1"
"age.cat>=65",1.5,"1.40e-02","1.1 to 2.2"
"TMB.cathigh",0.5,"6.17e-04","0.4 to 0.8"
"PDL1.catmed",0.7,"3.59e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.17e-01","0.7 to 1.8"
"CASP8_cna",1,"8.02e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.29e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.13e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.54e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.52e-01","0.8 to 1.9"
"CTLA4_cna",0.9,"5.69e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.22e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.27e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.85e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.45e-01","0.8 to 1.9"
"DNER_cna",1.1,"4.53e-01","0.9 to 1.4"
"age.cat>=65",1.5,"1.77e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.20e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"2.74e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.66e-01","0.8 to 1.9"
"PDCD1_cna",1.1,"5.64e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.41e-02","1.1 to 2.1"
