"var","hr","pval","hr_ci95"
"nmdptc_max.cathigh",1.3,"1.98e-03","1.1 to 1.5"
"nmdptc_n_decayed.catmed",1.3,"3.46e-04","1.1 to 1.4"
"nmdptc_n_decayed.cathigh",1.1,"1.57e-01","1 to 1.3"
"nmdptc_frac_decayed.catmed",1.2,"9.89e-03","1 to 1.3"
"nmdptc_frac_decayed.cathigh",1,"5.65e-01","0.8 to 1.1"
"nmdptc_med.catmed",1,"8.63e-01","0.9 to 1.1"
"nmdptc_med.cathigh",1.1,"1.38e-01","1 to 1.3"
"nmdptc_med.wt.catmed",1.1,"2.52e-01","0.9 to 1.2"
"nmdptc_med.wt.cathigh",1,"8.34e-01","0.8 to 1.1"
"nmdptc_mean.catmed",1,"6.57e-01","0.9 to 1.2"
"nmdptc_mean.cathigh",1.1,"3.54e-01","0.9 to 1.2"
"nmdptc_mean.wt.catmed",1.1,"2.26e-01","1 to 1.2"
"nmdptc_mean.wt.cathigh",1,"7.93e-01","0.8 to 1.1"
"nmdfs_max.catmed",1.3,"2.42e-05","1.2 to 1.5"
"nmdfs_max.cathigh",1,"6.81e-01","0.9 to 1.2"
"nmdfs_n_decayed.catmed",1.2,"1.07e-03","1.1 to 1.4"
"nmdfs_n_decayed.cathigh",0.9,"2.10e-01","0.8 to 1.1"
"nmdfs_frac_decayed.catmed",1.2,"3.83e-02","1 to 1.3"
"nmdfs_frac_decayed.cathigh",1.1,"5.09e-02","1 to 1.3"
"nmdfs_med.catmed",1.2,"2.03e-02","1 to 1.3"
"nmdfs_med.cathigh",1.2,"4.07e-02","1 to 1.4"
"nmdfs_med.wt.catmed",1.1,"1.30e-01","1 to 1.3"
"nmdfs_med.wt.cathigh",1.1,"1.29e-01","1 to 1.3"
"nmdfs_mean.catmed",1.2,"9.52e-03","1 to 1.4"
"nmdfs_mean.cathigh",1.2,"1.05e-02","1 to 1.4"
"nmdfs_mean.wt.catmed",1.1,"5.07e-02","1 to 1.3"
"nmdfs_mean.wt.cathigh",1.1,"7.59e-02","1 to 1.3"
"nmdns_max.catmed",1.4,"2.85e-06","1.2 to 1.5"
"nmdns_max.cathigh",0.8,"1.35e-02","0.7 to 1"
"nmdns_n_decayed.catmed",1.3,"1.14e-06","1.2 to 1.5"
"nmdns_n_decayed.cathigh",0.7,"1.48e-05","0.6 to 0.8"
"nmdns_frac_decayed.catmed",1.2,"1.93e-02","1 to 1.3"
"nmdns_frac_decayed.cathigh",0.9,"1.64e-02","0.7 to 1"
"nmdns_med.catmed",1.1,"1.67e-01","1 to 1.2"
"nmdns_med.cathigh",0.8,"3.76e-03","0.7 to 0.9"
"nmdns_med.wt.catmed",1,"5.61e-01","0.9 to 1.2"
"nmdns_med.wt.cathigh",0.8,"4.83e-04","0.7 to 0.9"
"nmdns_mean.catmed",1.1,"2.44e-01","1 to 1.2"
"nmdns_mean.cathigh",0.8,"3.06e-03","0.7 to 0.9"
"nmdns_mean.wt.catmed",1,"5.73e-01","0.9 to 1.2"
"nmdns_mean.wt.cathigh",0.8,"4.60e-04","0.7 to 0.9"
