"var","hr","pval","hr_ci95"
"SOS1_cna",1.3,"1.80e-01","0.9 to 1.9"
"age.cat>=65",1.5,"9.61e-02","0.9 to 2.2"
"gendermale",0.9,"6.52e-01","0.6 to 1.4"
"tnm_stageII",2.9,"9.47e-05","1.7 to 4.9"
"tnm_stageIII",3.7,"1.02e-06","2.2 to 6.1"
"tnm_stageIV",3.1,"1.29e-02","1.3 to 7.6"
"SOS1_mut",1.1,"8.62e-01","0.4 to 3"
"age.cat>=65",1.4,"1.53e-01","0.9 to 2.1"
"gendermale",1,"9.79e-01","0.7 to 1.5"
"tnm_stageII",3,"6.17e-05","1.7 to 5"
"tnm_stageIII",3.8,"7.36e-07","2.2 to 6.3"
"tnm_stageIV",3.1,"1.21e-02","1.3 to 7.7"
"CASP8_cna",0.8,"1.68e-01","0.5 to 1.1"
"age.cat>=65",1.3,"2.19e-01","0.9 to 2"
"gendermale",1.1,"6.60e-01","0.7 to 1.7"
"tnm_stageII",3.2,"2.96e-05","1.8 to 5.4"
"tnm_stageIII",4,"2.22e-07","2.4 to 6.8"
"tnm_stageIV",3.5,"6.62e-03","1.4 to 8.7"
"CASP8_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"1.78e-01","0.9 to 2.1"
"gendermale",1,"9.65e-01","0.6 to 1.5"
"tnm_stageII",3.1,"3.65e-05","1.8 to 5.2"
"tnm_stageIII",3.8,"4.71e-07","2.3 to 6.4"
"tnm_stageIV",3.1,"1.19e-02","1.3 to 7.7"
"CTLA4_cna",0.8,"1.95e-01","0.5 to 1.1"
"age.cat>=65",1.3,"2.14e-01","0.9 to 2"
"gendermale",1.1,"6.62e-01","0.7 to 1.7"
"tnm_stageII",3.1,"3.42e-05","1.8 to 5.3"
"tnm_stageIII",4,"2.44e-07","2.4 to 6.8"
"tnm_stageIV",3.5,"7.06e-03","1.4 to 8.6"
"DNER_cna",1,"9.90e-01","0.7 to 1.4"
"age.cat>=65",1.4,"1.56e-01","0.9 to 2.1"
"gendermale",1,"9.87e-01","0.6 to 1.6"
"tnm_stageII",3,"6.35e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.28e-07","2.2 to 6.4"
"tnm_stageIV",3.1,"1.35e-02","1.3 to 7.8"
"PDCD1_cna",1,"8.76e-01","0.7 to 1.3"
"age.cat>=65",1.4,"1.59e-01","0.9 to 2.1"
"gendermale",1,"9.52e-01","0.6 to 1.6"
"tnm_stageII",3,"6.14e-05","1.7 to 5"
"tnm_stageIII",3.8,"8.86e-07","2.2 to 6.5"
"tnm_stageIV",3.2,"1.25e-02","1.3 to 7.9"
"SLC22A14_cna",1.1,"4.66e-01","0.8 to 1.6"
"age.cat>=65",1.3,"1.78e-01","0.9 to 2.1"
"gendermale",1,"9.78e-01","0.7 to 1.5"
"tnm_stageII",3,"4.84e-05","1.8 to 5.2"
"tnm_stageIII",3.8,"4.40e-07","2.3 to 6.4"
"tnm_stageIV",3.1,"1.20e-02","1.3 to 7.7"
"PIK3CA_cna",1.1,"3.78e-01","0.9 to 1.5"
"age.cat>=65",1.4,"1.38e-01","0.9 to 2.1"
"gendermale",1,"9.14e-01","0.7 to 1.6"
"tnm_stageII",3,"5.01e-05","1.8 to 5.1"
"tnm_stageIII",3.7,"6.84e-07","2.2 to 6.2"
"tnm_stageIV",3.3,"9.84e-03","1.3 to 8"
"CXCL9_cna",0.9,"6.30e-01","0.7 to 1.3"
"age.cat>=65",1.4,"1.60e-01","0.9 to 2.1"
"gendermale",1,"9.64e-01","0.7 to 1.6"
"tnm_stageII",3,"6.12e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.81e-07","2.3 to 6.3"
"tnm_stageIV",3.1,"1.40e-02","1.3 to 7.5"
"CXCL9_mut",2.9,"3.84e-02","1.1 to 8.2"
"age.cat>=65",1.4,"1.21e-01","0.9 to 2.2"
"gendermale",1,"9.04e-01","0.6 to 1.5"
"tnm_stageII",3.1,"4.20e-05","1.8 to 5.2"
"tnm_stageIII",3.9,"3.26e-07","2.3 to 6.6"
"tnm_stageIV",3.3,"9.35e-03","1.3 to 8"
"CXCL10_cna",0.9,"6.30e-01","0.7 to 1.3"
"age.cat>=65",1.4,"1.60e-01","0.9 to 2.1"
"gendermale",1,"9.64e-01","0.7 to 1.6"
"tnm_stageII",3,"6.12e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.81e-07","2.3 to 6.3"
"tnm_stageIV",3.1,"1.40e-02","1.3 to 7.5"
"CXCL11_cna",1,"7.92e-01","0.7 to 1.3"
"age.cat>=65",1.4,"1.55e-01","0.9 to 2.1"
"gendermale",1,"9.78e-01","0.7 to 1.5"
"tnm_stageII",3,"6.15e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.83e-07","2.3 to 6.3"
"tnm_stageIV",3.1,"1.51e-02","1.2 to 7.6"
"TET2_cna",0.8,"1.42e-01","0.5 to 1.1"
"age.cat>=65",1.3,"1.73e-01","0.9 to 2.1"
"gendermale",1,"8.70e-01","0.6 to 1.5"
"tnm_stageII",2.9,"1.01e-04","1.7 to 4.9"
"tnm_stageIII",3.6,"1.87e-06","2.1 to 6"
"tnm_stageIV",3,"1.52e-02","1.2 to 7.4"
"IL2_cna",0.8,"1.72e-01","0.5 to 1.1"
"age.cat>=65",1.3,"1.81e-01","0.9 to 2.1"
"gendermale",1,"9.21e-01","0.6 to 1.5"
"tnm_stageII",2.8,"1.25e-04","1.7 to 4.9"
"tnm_stageIII",3.6,"1.49e-06","2.1 to 6.1"
"tnm_stageIV",3,"1.49e-02","1.2 to 7.4"
"IL2_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.4,"1.63e-01","0.9 to 2.1"
"gendermale",1,"9.71e-01","0.7 to 1.6"
"tnm_stageII",2.9,"6.84e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.40e-07","2.2 to 6.3"
"tnm_stageIV",3.1,"1.27e-02","1.3 to 7.6"
"IRF1_cna",1.1,"4.18e-01","0.8 to 1.5"
"age.cat>=65",1.4,"1.64e-01","0.9 to 2.1"
"gendermale",1,"9.48e-01","0.7 to 1.6"
"tnm_stageII",3,"4.60e-05","1.8 to 5.2"
"tnm_stageIII",3.9,"3.84e-07","2.3 to 6.5"
"tnm_stageIV",3.3,"9.81e-03","1.3 to 8"
"HAVCR2_cna",1.1,"7.03e-01","0.8 to 1.4"
"age.cat>=65",1.4,"1.52e-01","0.9 to 2.1"
"gendermale",1,"9.36e-01","0.7 to 1.6"
"tnm_stageII",3,"5.77e-05","1.8 to 5.1"
"tnm_stageIII",3.8,"5.02e-07","2.2 to 6.3"
"tnm_stageIV",3.2,"1.15e-02","1.3 to 7.8"
"TAP1_cna",0.8,"1.76e-01","0.6 to 1.1"
"age.cat>=65",1.4,"9.72e-02","0.9 to 2.2"
"gendermale",1,"9.83e-01","0.7 to 1.5"
"tnm_stageII",3,"6.54e-05","1.7 to 5"
"tnm_stageIII",3.9,"2.60e-07","2.3 to 6.7"
"tnm_stageIV",3.1,"1.38e-02","1.3 to 7.5"
"IFNGR1_cna",1.1,"5.18e-01","0.8 to 1.5"
"age.cat>=65",1.3,"1.82e-01","0.9 to 2.1"
"gendermale",1,"8.90e-01","0.7 to 1.6"
"tnm_stageII",3,"6.37e-05","1.7 to 5"
"tnm_stageIII",3.9,"4.09e-07","2.3 to 6.5"
"tnm_stageIV",3.2,"1.04e-02","1.3 to 7.9"
"IFNGR1_mut",NA," NA","NA to NA"
"age.cat>=65",1.4,"1.55e-01","0.9 to 2.1"
"gendermale",1,"9.89e-01","0.7 to 1.5"
"tnm_stageII",3,"6.23e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.88e-07","2.3 to 6.3"
"tnm_stageIV",3.1,"1.21e-02","1.3 to 7.7"
"MUC17_cna",0.9,"6.27e-01","0.7 to 1.3"
"age.cat>=65",1.3,"1.82e-01","0.9 to 2.1"
"gendermale",1,"9.50e-01","0.6 to 1.5"
"tnm_stageII",2.9,"7.86e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.43e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.12e-02","1.3 to 7.8"
"MUC17_mut",0,"9.96e-01","0 to Inf"
