"var","hr","pval","hr_ci95"
"nmdfs_n_decayed.catmed",0.6,"2.99e-01","0.3 to 1.5"
"nmdfs_n_decayed.cathigh",1.2,"6.96e-01","0.5 to 2.6"
"nmdfs_frac_decayed.catmed",2.6,"1.47e-01","0.7 to 9.1"
"nmdfs_frac_decayed.cathigh",4.2,"2.09e-02","1.2 to 14.5"
"nmdfs_med.catmed",2.1,"1.76e-01","0.7 to 6.4"
"nmdfs_med.cathigh",2.7,"8.10e-02","0.9 to 8.5"
"nmdfs_med.wt.catmed",1.6,"3.82e-01","0.5 to 5"
"nmdfs_med.wt.cathigh",3.1,"4.40e-02","1 to 9.5"
"nmdfs_mean.catmed",2.1,"2.02e-01","0.7 to 6.2"
"nmdfs_mean.cathigh",2.8,"6.85e-02","0.9 to 8.7"
"nmdfs_mean.wt.catmed",1.7,"3.26e-01","0.6 to 5.3"
"nmdfs_mean.wt.cathigh",3.3,"3.41e-02","1.1 to 10.1"
"nmdns_max.catmed",1.2,"6.86e-01","0.5 to 2.9"
"nmdns_max.cathigh",1.2,"6.76e-01","0.5 to 3.3"
"nmdns_n_decayed.catmed",1,"9.10e-01","0.5 to 2.3"
"nmdns_n_decayed.cathigh",0.8,"6.03e-01","0.3 to 2"
"nmdns_frac_decayed.catmed",0.6,"2.45e-01","0.2 to 1.5"
"nmdns_frac_decayed.cathigh",1.6,"2.99e-01","0.7 to 3.6"
"nmdns_med.catmed",0.7,"4.58e-01","0.3 to 1.8"
"nmdns_med.cathigh",1.6,"3.30e-01","0.6 to 3.7"
"nmdns_med.wt.catmed",0.6,"3.43e-01","0.3 to 1.6"
"nmdns_med.wt.cathigh",1.8,"1.78e-01","0.8 to 4.3"
"nmdns_mean.catmed",0.9,"8.77e-01","0.4 to 2.4"
"nmdns_mean.cathigh",1.9,"1.84e-01","0.7 to 4.7"
"nmdns_mean.wt.catmed",0.6,"2.42e-01","0.2 to 1.5"
"nmdns_mean.wt.cathigh",1.7,"2.39e-01","0.7 to 4"
