"var","hr","pval","hr_ci95"
"tnm_stageII",0.9,"8.13e-01","0.3 to 2.5"
"tnm_stageIII",1.2,"7.60e-01","0.4 to 3.3"
"tnm_stageIV",1.9,"2.92e-01","0.6 to 6.6"
"nmdptc_med",1.3,"1.34e-03","1.1 to 1.5"
"age.cat>=65",1.6,"9.47e-03","1.1 to 2.2"
"gendermale",1.2,"2.52e-01","0.9 to 1.7"
"tnm_stageI",0.7,"5.56e-01","0.3 to 2.1"
"tnm_stageI/II NOS",0.3,"1.67e-01","0.1 to 1.6"
"tnm_stageII",1,"9.31e-01","0.4 to 3"
"tnm_stageIII",1.4,"5.62e-01","0.5 to 3.8"
"tnm_stageIV",2.2,"2.03e-01","0.7 to 7.5"
"nmdptc_med.wt",1.3,"2.10e-02","1 to 1.5"
"age.cat>=65",1.6,"1.25e-02","1.1 to 2.2"
"gendermale",1.2,"3.18e-01","0.8 to 1.7"
"tnm_stageI",0.7,"5.04e-01","0.2 to 2"
"tnm_stageI/II NOS",0.3,"1.70e-01","0.1 to 1.6"
"tnm_stageII",1,"9.83e-01","0.4 to 2.9"
"tnm_stageIII",1.3,"5.90e-01","0.5 to 3.7"
"tnm_stageIV",2,"2.51e-01","0.6 to 7"
"nmdptc_mean",1.2,"2.01e-02","1 to 1.4"
"age.cat>=65",1.6,"9.54e-03","1.1 to 2.3"
"gendermale",1.2,"2.73e-01","0.9 to 1.7"
"tnm_stageI",0.8,"5.92e-01","0.3 to 2.1"
"tnm_stageI/II NOS",0.4,"1.94e-01","0.1 to 1.7"
"tnm_stageII",1.1,"9.10e-01","0.4 to 3"
"tnm_stageIII",1.4,"5.18e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.82e-01","0.7 to 7.7"
"nmdptc_mean.wt",1.2,"2.96e-02","1 to 1.5"
"age.cat>=65",1.6,"1.17e-02","1.1 to 2.2"
"gendermale",1.2,"3.21e-01","0.8 to 1.7"
"tnm_stageI",0.7,"5.10e-01","0.2 to 2"
"tnm_stageI/II NOS",0.3,"1.70e-01","0.1 to 1.6"
"tnm_stageII",1,"9.89e-01","0.4 to 2.8"
"tnm_stageIII",1.3,"5.88e-01","0.5 to 3.7"
"tnm_stageIV",2.1,"2.45e-01","0.6 to 7"
"nmdfs_max",1,"9.06e-02","1 to 1.1"
"age.cat>=65",1.6,"8.45e-03","1.1 to 2.3"
"gendermale",1.2,"2.51e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.73e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.23e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.37e-01","0.4 to 3.2"
"tnm_stageIII",1.5,"4.52e-01","0.5 to 4.1"
"tnm_stageIV",2.6,"1.28e-01","0.8 to 8.8"
"nmdfs_n_decayed",1,"1.32e-01","1 to 1"
"age.cat>=65",1.6,"8.55e-03","1.1 to 2.3"
"gendermale",1.2,"2.53e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.67e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.18e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.40e-01","0.4 to 3.2"
"tnm_stageIII",1.5,"4.56e-01","0.5 to 4.1"
"tnm_stageIV",2.5,"1.42e-01","0.7 to 8.4"
"nmdfs_frac_decayed",1.3,"2.53e-01","0.8 to 2"
"age.cat>=65",1.6,"5.87e-03","1.2 to 2.3"
"gendermale",1.2,"2.41e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.31e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.61e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.23e-01","0.5 to 3.9"
"tnm_stageIV",2.4,"1.56e-01","0.7 to 8.1"
"nmdfs_med",1.1,"1.40e-01","1 to 1.2"
"age.cat>=65",1.6,"7.30e-03","1.1 to 2.3"
"gendermale",1.2,"2.59e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.74e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.19e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.54e-01","0.4 to 3.1"
"tnm_stageIII",1.5,"4.58e-01","0.5 to 4.1"
"tnm_stageIV",2.6,"1.30e-01","0.8 to 8.7"
"nmdfs_med.wt",1.1,"1.39e-01","1 to 1.2"
"age.cat>=65",1.6,"7.44e-03","1.1 to 2.3"
"gendermale",1.2,"2.51e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.60e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.15e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.61e-01","0.4 to 3.1"
"tnm_stageIII",1.5,"4.67e-01","0.5 to 4.1"
"tnm_stageIV",2.6,"1.32e-01","0.8 to 8.7"
"nmdfs_mean",1.1,"1.21e-01","1 to 1.2"
"age.cat>=65",1.6,"6.62e-03","1.1 to 2.3"
"gendermale",1.2,"2.54e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.84e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.25e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.43e-01","0.4 to 3.2"
"tnm_stageIII",1.5,"4.52e-01","0.5 to 4.1"
"tnm_stageIV",2.6,"1.26e-01","0.8 to 8.8"
"nmdfs_mean.wt",1.1,"1.26e-01","1 to 1.2"
"age.cat>=65",1.6,"7.38e-03","1.1 to 2.3"
"gendermale",1.2,"2.49e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.64e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.17e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.56e-01","0.4 to 3.1"
"tnm_stageIII",1.5,"4.63e-01","0.5 to 4.1"
"tnm_stageIV",2.6,"1.30e-01","0.8 to 8.7"
"nmdns_max",1,"3.82e-01","1 to 1.1"
"age.cat>=65",1.6,"7.02e-03","1.1 to 2.3"
"gendermale",1.2,"3.32e-01","0.8 to 1.6"
"tnm_stageI",0.8,"7.18e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.4,"2.21e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.73e-01","0.4 to 3.1"
"tnm_stageIII",1.5,"4.38e-01","0.5 to 4.3"
"tnm_stageIV",2.5,"1.49e-01","0.7 to 8.4"
"nmdns_n_decayed",1,"1.57e-02","1 to 1"
"age.cat>=65",1.6,"1.12e-02","1.1 to 2.2"
"gendermale",1.2,"2.48e-01","0.9 to 1.7"
"tnm_stageI",0.9,"8.86e-01","0.3 to 2.7"
"tnm_stageI/II NOS",0.5,"3.20e-01","0.1 to 2.1"
"tnm_stageII",1.3,"6.21e-01","0.4 to 3.8"
"tnm_stageIII",1.8,"2.80e-01","0.6 to 5.1"
"tnm_stageIV",2.7,"1.08e-01","0.8 to 9.4"
"nmdns_frac_decayed",1.8,"4.81e-02","1 to 3.2"
"age.cat>=65",1.6,"6.75e-03","1.1 to 2.3"
"gendermale",1.2,"3.07e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.46e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"2.05e-01","0.1 to 1.7"
"tnm_stageII",1.1,"8.65e-01","0.4 to 3.1"
"tnm_stageIII",1.5,"4.59e-01","0.5 to 4.1"
"tnm_stageIV",2.4,"1.66e-01","0.7 to 8"
"nmdns_med",1.2,"8.61e-03","1 to 1.3"
"age.cat>=65",1.6,"1.03e-02","1.1 to 2.2"
"gendermale",1.2,"2.23e-01","0.9 to 1.7"
"tnm_stageI",0.9,"9.16e-01","0.3 to 2.7"
"tnm_stageI/II NOS",0.4,"2.97e-01","0.1 to 2.1"
"tnm_stageII",1.3,"6.00e-01","0.5 to 3.9"
"tnm_stageIII",1.8,"2.80e-01","0.6 to 5.1"
"tnm_stageIV",2.9,"9.29e-02","0.8 to 9.9"
"nmdns_med.wt",1.2,"4.13e-02","1 to 1.3"
"age.cat>=65",1.6,"9.91e-03","1.1 to 2.3"
"gendermale",1.2,"2.59e-01","0.9 to 1.7"
"tnm_stageI",0.9,"8.40e-01","0.3 to 2.6"
"tnm_stageI/II NOS",0.4,"2.83e-01","0.1 to 2"
