"var","hr","pval","hr_ci95"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"8.09e-02","0.9 to 8.9"
"nmdns_med.wt",1.1,"6.02e-01","0.9 to 1.3"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.3"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.53e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.75e-02","0.9 to 9"
"nmdns_mean",1.1,"1.68e-01","0.9 to 1.3"
"age.cat>=65",1.6,"9.36e-03","1.1 to 2.4"
"gendermale",0.8,"2.95e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.94e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.59e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.71e-02","0.9 to 9"
"nmdns_mean.wt",1.1,"5.88e-01","0.9 to 1.3"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.3"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.91e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.53e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.73e-02","0.9 to 9"
"TNFRSF4_cna",0.9,"6.19e-01","0.7 to 1.3"
"age.cat>=65",1.6,"1.16e-02","1.1 to 2.3"
"gendermale",0.8,"2.22e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.84e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.61e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.64e-02","0.9 to 9"
"TNFRSF4_mut",0.6,"3.07e-01","0.2 to 1.7"
"age.cat>=65",1.7,"7.24e-03","1.1 to 2.4"
"gendermale",0.8,"1.90e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.45e-01","0.5 to 6.1"
"tnm_stageIII",2,"2.63e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.66e-02","0.9 to 9"
"CNKSR1_cna",0.8,"2.73e-01","0.6 to 1.2"
"age.cat>=65",1.6,"1.41e-02","1.1 to 2.3"
"gendermale",0.8,"2.07e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.99e-01","0.5 to 5.7"
"tnm_stageIII",1.9,"2.94e-01","0.6 to 6.6"
"tnm_stageIV",2.7,"8.69e-02","0.9 to 8.7"
"FUBP1_cna",0.9,"3.56e-01","0.6 to 1.2"
"age.cat>=65",1.6,"1.13e-02","1.1 to 2.3"
"gendermale",0.8,"2.04e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.70e-01","0.5 to 5.9"
"tnm_stageIII",2,"2.53e-01","0.6 to 7"
"tnm_stageIV",2.9,"7.23e-02","0.9 to 9.1"
"FUBP1_mut",0,"9.94e-01","0 to Inf"
"age.cat>=65",1.6,"1.45e-02","1.1 to 2.3"
"gendermale",0.8,"2.79e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.88e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.62e-01","0.6 to 6.9"
"tnm_stageIV",2.9,"7.16e-02","0.9 to 9.1"
"IL10_cna",1,"9.85e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.3"
"gendermale",0.8,"2.43e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.91e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.78e-02","0.9 to 9"
"IRF6_cna",1,"9.48e-01","0.7 to 1.3"
"age.cat>=65",1.6,"1.04e-02","1.1 to 2.3"
"gendermale",0.8,"2.44e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.90e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.57e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.70e-02","0.9 to 9"
"IRF6_mut",17.8,"6.63e-03","2.2 to 142.7"
"age.cat>=65",1.6,"1.33e-02","1.1 to 2.3"
"gendermale",0.8,"2.00e-01","0.5 to 1.1"
"tnm_stageII",1.6,"4.39e-01","0.5 to 5.5"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.76e-02","0.9 to 9"
"DNMT3A_cna",1,"8.64e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.21e-02","1.1 to 2.3"
"gendermale",0.8,"2.57e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.94e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.66e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.86e-02","0.9 to 8.9"
"SOS1_cna",1,"9.31e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.12e-02","1.1 to 2.4"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.91e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.57e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.72e-02","0.9 to 9"
"SOS1_mut",1.5,"4.46e-01","0.5 to 4"
"age.cat>=65",1.6,"1.22e-02","1.1 to 2.3"
"gendermale",0.8,"2.75e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.87e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.59e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.97e-02","0.9 to 8.9"
"CASP8_cna",1.1,"5.22e-01","0.8 to 1.4"
"age.cat>=65",1.6,"8.88e-03","1.1 to 2.4"
"gendermale",0.8,"2.50e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.20e-01","0.5 to 5.6"
"tnm_stageIII",2,"2.78e-01","0.6 to 6.8"
"tnm_stageIV",2.8,"8.33e-02","0.9 to 8.8"
"CASP8_mut",1,"9.18e-01","0.6 to 1.7"
"age.cat>=65",1.6,"1.05e-02","1.1 to 2.3"
"gendermale",0.8,"2.41e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.90e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.56e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.75e-02","0.9 to 9"
"CTLA4_cna",1,"9.91e-01","0.8 to 1.3"
"age.cat>=65",1.6,"1.12e-02","1.1 to 2.3"
"gendermale",0.8,"2.43e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.91e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.72e-02","0.9 to 9"
"CTLA4_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.3"
"gendermale",0.8,"2.52e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.88e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.55e-02","0.9 to 9"
"DNER_cna",0.9,"4.67e-01","0.7 to 1.2"
"age.cat>=65",1.6,"1.14e-02","1.1 to 2.3"
"gendermale",0.8,"2.38e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.77e-01","0.5 to 5.8"
"tnm_stageIII",2.1,"2.52e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.66e-02","0.9 to 9"
"PDCD1_cna",0.9,"4.45e-01","0.7 to 1.2"
"age.cat>=65",1.6,"1.11e-02","1.1 to 2.3"
"gendermale",0.8,"2.45e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.68e-01","0.5 to 5.9"
"tnm_stageIII",2.1,"2.50e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.65e-02","0.9 to 9"
"SLC22A14_cna",0.4,"1.01e-04","0.2 to 0.6"
"age.cat>=65",1.7,"3.17e-03","1.2 to 2.5"
"gendermale",0.7,"5.82e-02","0.5 to 1"
"tnm_stageII",1.8,"3.28e-01","0.5 to 6.2"
"tnm_stageIII",2,"2.82e-01","0.6 to 6.7"
"tnm_stageIV",2.6,"1.03e-01","0.8 to 8.3"
"PIK3CA_cna",1.2,"2.12e-01","0.9 to 1.5"
"age.cat>=65",1.6,"8.71e-03","1.1 to 2.4"
"gendermale",0.8,"1.72e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.47e-01","0.5 to 6.1"
"tnm_stageIII",2.1,"2.40e-01","0.6 to 7.2"
"tnm_stageIV",2.8,"7.88e-02","0.9 to 8.9"
"PIK3CA_mut",4,"1.75e-01","0.5 to 29.8"
"age.cat>=65",1.6,"1.40e-02","1.1 to 2.3"
"gendermale",0.8,"2.21e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"8.05e-02","0.9 to 8.9"
"CXCL9_cna",1,"8.40e-01","0.8 to 1.3"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.3"
"gendermale",0.8,"2.45e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.89e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.78e-02","0.9 to 9"
"CXCL9_mut",6.2,"7.82e-02","0.8 to 47.9"
"age.cat>=65",1.6,"1.31e-02","1.1 to 2.3"
"gendermale",0.8,"2.92e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.86e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"8.11e-02","0.9 to 8.9"
"CXCL10_cna",1,"8.40e-01","0.8 to 1.3"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.3"
"gendermale",0.8,"2.45e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.89e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.78e-02","0.9 to 9"
"CXCL11_cna",1,"8.40e-01","0.8 to 1.3"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.3"
"gendermale",0.8,"2.45e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.89e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.78e-02","0.9 to 9"
"TET2_cna",1,"9.08e-01","0.8 to 1.4"
"age.cat>=65",1.6,"1.04e-02","1.1 to 2.3"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.97e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.74e-02","0.9 to 9"
"TET2_mut",2.2,"1.17e-01","0.8 to 6"
"age.cat>=65",1.6,"9.09e-03","1.1 to 2.4"
"gendermale",0.8,"2.29e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.95e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.57e-01","0.6 to 7"
"tnm_stageIV",2.8,"8.00e-02","0.9 to 8.9"
"IL2_cna",1,"8.60e-01","0.8 to 1.4"
"age.cat>=65",1.6,"1.03e-02","1.1 to 2.3"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.05e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.64e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.97e-02","0.9 to 8.9"
"IRF1_cna",1.2,"2.34e-01","0.9 to 1.6"
"age.cat>=65",1.6,"1.05e-02","1.1 to 2.3"
"gendermale",0.8,"3.00e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.03e-01","0.5 to 5.7"
"tnm_stageIII",2.1,"2.51e-01","0.6 to 7"
"tnm_stageIV",2.9,"7.19e-02","0.9 to 9.2"
"HAVCR2_cna",1,"7.91e-01","0.8 to 1.4"
"age.cat>=65",1.6,"1.10e-02","1.1 to 2.3"
"gendermale",0.8,"2.49e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.95e-01","0.5 to 5.7"
"tnm_stageIII",2.1,"2.53e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.66e-02","0.9 to 9"
"HAVCR2_mut",3.4,"2.22e-01","0.5 to 25.1"
"age.cat>=65",1.6,"9.27e-03","1.1 to 2.4"
"gendermale",0.8,"2.31e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.94e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.98e-02","0.9 to 8.9"
"TAP1_cna",1,"8.84e-01","0.7 to 1.3"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.3"
"gendermale",0.8,"2.40e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.82e-02","0.9 to 8.9"
"TAP1_mut",NA," NA","NA to NA"
"age.cat>=65",1.6,"1.04e-02","1.1 to 2.3"
"gendermale",0.8,"2.43e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.90e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.72e-02","0.9 to 9"
"IFNGR1_cna",1,"9.14e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.07e-02","1.1 to 2.3"
"gendermale",0.8,"2.47e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.90e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.91e-02","0.9 to 9"
"IFNGR1_mut",0,"9.93e-01","0 to Inf"
"age.cat>=65",1.6,"1.21e-02","1.1 to 2.3"
"gendermale",0.8,"2.51e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.90e-01","0.5 to 5.7"
"tnm_stageIII",2.1,"2.29e-01","0.6 to 7.3"
"tnm_stageIV",2.8,"7.77e-02","0.9 to 9"
"MUC17_cna",1.1,"5.13e-01","0.8 to 1.4"
"age.cat>=65",1.6,"1.05e-02","1.1 to 2.3"
"gendermale",0.8,"2.11e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.05e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.74e-01","0.6 to 6.8"
"tnm_stageIV",2.8,"8.58e-02","0.9 to 8.8"
"MUC17_mut",0.9,"8.66e-01","0.3 to 2.5"
"age.cat>=65",1.6,"1.03e-02","1.1 to 2.3"
"gendermale",0.8,"2.56e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.84e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.72e-02","0.9 to 9"
"MET_cna",1,"8.00e-01","0.8 to 1.4"
"age.cat>=65",1.6,"1.32e-02","1.1 to 2.3"
"gendermale",0.8,"2.33e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.95e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.56e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.84e-02","0.9 to 8.9"
"IDO1_cna",0.9,"3.21e-01","0.7 to 1.1"
"age.cat>=65",1.6,"1.50e-02","1.1 to 2.3"
"gendermale",0.8,"2.13e-01","0.5 to 1.2"
