"var","hr","pval","hr_ci95"
"nmdfs_med.wt",1,"9.12e-01","0.8 to 1.2"
"age.cat>=65",3,"1.30e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.88e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.48e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.10e-01","0.3 to 1.9"
"nmdfs_mean",1,"9.93e-01","0.8 to 1.2"
"age.cat>=65",3,"1.31e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.90e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.37e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.06e-01","0.3 to 1.9"
"nmdfs_mean.wt",1,"8.80e-01","0.8 to 1.2"
"age.cat>=65",3,"1.30e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.87e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.51e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.11e-01","0.3 to 1.9"
"nmdns_max",1,"2.95e-01","0.9 to 1"
"age.cat>=65",3,"1.16e-02","1.3 to 7.1"
"TMB.cathigh",0.8,"4.47e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.29e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"4.04e-01","0.3 to 1.7"
"nmdns_n_decayed",1,"7.07e-01","1 to 1"
"age.cat>=65",3,"1.29e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.42e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.09e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.84e-01","0.3 to 1.8"
"nmdns_frac_decayed",0.7,"5.02e-01","0.3 to 1.8"
"age.cat>=65",3,"1.27e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.73e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.58e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.45e-01","0.3 to 1.8"
"nmdns_med",0.9,"7.15e-01","0.7 to 1.3"
"age.cat>=65",2.9,"1.37e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.59e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.83e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.66e-01","0.3 to 1.8"
"nmdns_med.wt",0.9,"7.06e-01","0.7 to 1.3"
"age.cat>=65",2.9,"1.43e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.44e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.78e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.67e-01","0.3 to 1.8"
"nmdns_mean",0.9,"7.02e-01","0.7 to 1.2"
"age.cat>=65",3,"1.28e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.51e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.83e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.64e-01","0.3 to 1.8"
"nmdns_mean.wt",0.9,"6.50e-01","0.7 to 1.3"
"age.cat>=65",2.9,"1.43e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.33e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.66e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.58e-01","0.3 to 1.8"
"TNFRSF4_cna",0.8,"3.65e-01","0.5 to 1.3"
"age.cat>=65",3.1,"9.27e-03","1.3 to 7.4"
"TMB.cathigh",0.8,"5.41e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"6.19e-01","0.4 to 1.8"
"PDL1.cathigh",0.8,"5.83e-01","0.3 to 2"
"CNKSR1_cna",0.6,"9.80e-02","0.4 to 1.1"
"age.cat>=65",3.3,"5.81e-03","1.4 to 7.9"
"TMB.cathigh",0.8,"4.77e-01","0.4 to 1.5"
"PDL1.catmed",0.7,"4.51e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"5.30e-01","0.3 to 1.9"
"FUBP1_cna",0.9,"6.06e-01","0.5 to 1.5"
"age.cat>=65",3.1,"1.09e-02","1.3 to 7.4"
"TMB.cathigh",0.8,"4.65e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.89e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.97e-01","0.3 to 1.8"
"IL10_cna",1.1,"5.90e-01","0.7 to 1.9"
"age.cat>=65",2.9,"1.37e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.61e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.84e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.23e-01","0.3 to 1.9"
"IRF6_cna",1.2,"5.61e-01","0.7 to 1.9"
"age.cat>=65",2.9,"1.37e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.56e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.91e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.25e-01","0.3 to 1.9"
"DNMT3A_cna",0.9,"7.75e-01","0.5 to 1.7"
"age.cat>=65",2.9,"1.53e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.96e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.06e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.91e-01","0.3 to 1.8"
"SOS1_cna",0.9,"6.83e-01","0.5 to 1.6"
"age.cat>=65",2.9,"1.57e-02","1.2 to 6.8"
"TMB.cathigh",0.8,"4.94e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.85e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.78e-01","0.3 to 1.8"
"CASP8_cna",1.1,"8.35e-01","0.6 to 1.8"
"age.cat>=65",2.9,"1.35e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.85e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.77e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.61e-01","0.3 to 2"
"CASP8_mut",1.2,"4.58e-01","0.7 to 2.1"
"age.cat>=65",3.1,"1.09e-02","1.3 to 7.2"
"TMB.cathigh",0.8,"4.15e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.39e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.88e-01","0.3 to 1.8"
"CTLA4_cna",0.8,"4.33e-01","0.5 to 1.4"
"age.cat>=65",3,"1.25e-02","1.3 to 6.9"
"TMB.cathigh",0.8,"4.68e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.62e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"3.99e-01","0.2 to 1.7"
"DNER_cna",1.1,"6.54e-01","0.6 to 2"
"age.cat>=65",2.9,"1.60e-02","1.2 to 6.8"
"TMB.cathigh",0.8,"5.24e-01","0.4 to 1.6"
"PDL1.catmed",0.9,"6.97e-01","0.4 to 1.9"
"PDL1.cathigh",0.8,"5.93e-01","0.3 to 2"
"PDCD1_cna",0.9,"7.36e-01","0.6 to 1.5"
"age.cat>=65",3,"1.22e-02","1.3 to 7.1"
"TMB.cathigh",0.8,"4.67e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.86e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.62e-01","0.3 to 1.8"
"SLC22A14_cna",0.9,"6.24e-01","0.6 to 1.4"
"age.cat>=65",3,"1.21e-02","1.3 to 7.1"
"TMB.cathigh",0.8,"4.96e-01","0.4 to 1.5"
