"var","hr","pval","hr_ci95"
"B2M_cna",1.2,"5.77e-01","0.7 to 1.9"
"age.cat>=65",2.4,"2.61e-02","1.1 to 5.2"
"B2M_mut",1.5,"2.96e-01","0.7 to 3"
"age.cat>=65",2.5,"1.83e-02","1.2 to 5.5"
"TP53_cna",1,"9.10e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.64e-02","1.1 to 5.4"
"TP53_mut",2.3,"9.88e-02","0.9 to 6.4"
"age.cat>=65",2.5,"1.90e-02","1.2 to 5.5"
"TMEM88_cna",1,"9.10e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.64e-02","1.1 to 5.4"
"MYOCD_cna",0.9,"6.75e-01","0.5 to 1.5"
"age.cat>=65",2.4,"3.05e-02","1.1 to 5.2"
"NCOR1_cna",0.8,"5.32e-01","0.5 to 1.4"
"age.cat>=65",2.3,"3.30e-02","1.1 to 5.2"
"NCOR1_mut",4.1,"1.65e-01","0.6 to 30.7"
"age.cat>=65",2.5,"1.92e-02","1.2 to 5.5"
"NF1_cna",0.9,"8.09e-01","0.5 to 1.6"
"age.cat>=65",2.5,"2.25e-02","1.1 to 5.6"
"NF1_mut",1,"9.56e-01","0.6 to 1.8"
"age.cat>=65",2.5,"2.34e-02","1.1 to 5.3"
"ALPK2_cna",0.6,"1.28e-01","0.3 to 1.1"
"age.cat>=65",2.9,"9.39e-03","1.3 to 6.7"
"LPAR2_cna",0.7,"1.96e-01","0.4 to 1.2"
"age.cat>=65",2.3,"3.79e-02","1 to 5"
"TGFB1_cna",0.9,"5.51e-01","0.5 to 1.4"
"age.cat>=65",2.6,"1.86e-02","1.2 to 5.6"
"CIC_cna",0.8,"3.79e-01","0.5 to 1.3"
"age.cat>=65",2.6,"1.74e-02","1.2 to 5.6"
"CSNK2A1_cna",0.8,"2.82e-01","0.5 to 1.2"
"age.cat>=65",2.6,"1.70e-02","1.2 to 5.6"
"ASXL1_cna",0.7,"2.42e-01","0.4 to 1.3"
"age.cat>=65",2.4,"2.33e-02","1.1 to 5.3"
"ASXL1_mut",0.9,"8.80e-01","0.2 to 3.9"
"age.cat>=65",2.5,"2.27e-02","1.1 to 5.3"
"IFNGR2_cna",0.8,"5.78e-01","0.4 to 1.6"
"age.cat>=65",2.7,"1.87e-02","1.2 to 6"
"IFNGR2_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",2.4,"2.34e-02","1.1 to 5.3"
"EP300_cna",0.8,"2.91e-01","0.5 to 1.3"
"age.cat>=65",2.5,"2.01e-02","1.2 to 5.4"
"EP300_mut",1.1,"7.81e-01","0.7 to 1.6"
"age.cat>=65",2.4,"2.64e-02","1.1 to 5.3"
"DDX3X_cna",1,"9.44e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.69e-02","1.1 to 5.4"
"SSX5_cna",1,"9.30e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.72e-02","1.1 to 5.4"
"SSX5_mut",NA," NA","NA to NA"
"age.cat>=65",2.5,"2.19e-02","1.1 to 5.3"
"FOXP3_cna",1,"9.30e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.72e-02","1.1 to 5.4"
"SMC1A_cna",1,"9.24e-01","0.6 to 1.7"
"age.cat>=65",2.4,"2.75e-02","1.1 to 5.4"
"SMC1A_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",2.4,"2.38e-02","1.1 to 5.3"
"MORC4_cna",0.6,"2.74e-02","0.3 to 0.9"
