"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"PDL1.cat=high",107,69,1.3,"1.1 to 1.6","0.79 (0.71 to 0.87)","0.63 (0.54 to 0.74)","0.29 (0.21 to 0.42)","0.09 (0.04 to 0.25)"
"PDL1.cat=low",108,29,6.7,"3.9 to NA","0.96 (0.92 to 1)","0.94 (0.89 to 0.99)","0.81 (0.73 to 0.9)","0.56 (0.43 to 0.74)"
"PDL1.cat=med",217,92,4,"3.1 to 5.3","0.91 (0.87 to 0.95)","0.83 (0.77 to 0.88)","0.66 (0.59 to 0.73)","0.43 (0.35 to 0.54)"
"age.cat=<65",356,133,4.1,"3.4 to 5.5","0.94 (0.92 to 0.97)","0.87 (0.83 to 0.91)","0.69 (0.63 to 0.75)","0.46 (0.38 to 0.54)"
"age.cat=>=65",76,57,1,"0.7 to 1.2","0.66 (0.56 to 0.78)","0.51 (0.41 to 0.64)","0.24 (0.15 to 0.37)","0.00 (NA to NA)"
"nmdptc_mut.bool=0",49,17,7.9,"5.3 to NA","0.88 (0.79 to 0.98)","0.86 (0.76 to 0.97)","0.69 (0.56 to 0.86)","0.64 (0.5 to 0.83)"
"nmdptc_mut.bool=1",383,173,3.2,"2.4 to 4","0.89 (0.86 to 0.93)","0.80 (0.75 to 0.84)","0.59 (0.54 to 0.65)","0.35 (0.29 to 0.44)"
"nmdfs_mut.bool=0",139,51,6.3,"3.4 to 12.9","0.90 (0.85 to 0.95)","0.80 (0.73 to 0.87)","0.66 (0.57 to 0.75)","0.55 (0.44 to 0.68)"
"nmdfs_mut.bool=1",293,139,2.8,"2.1 to 3.7","0.89 (0.85 to 0.93)","0.81 (0.76 to 0.86)","0.58 (0.52 to 0.65)","0.31 (0.24 to 0.41)"
"nmdns_mut.bool=0",140,51,5.2,"4.1 to 7.9","0.93 (0.88 to 0.97)","0.92 (0.87 to 0.97)","0.75 (0.67 to 0.83)","0.53 (0.41 to 0.67)"
"nmdns_mut.bool=1",292,139,2.2,"1.8 to 3.3","0.87 (0.84 to 0.92)","0.75 (0.7 to 0.8)","0.53 (0.47 to 0.6)","0.31 (0.24 to 0.4)"
