"var","hr","pval","hr_ci95"
"PRF1.catmed",1.1,"7.54e-01","0.6 to 1.8"
"PRF1.cathigh",0.6,"1.69e-01","0.3 to 1.2"
"nmdptc_max.catmed",0.7,"1.43e-01","0.4 to 1.1"
"nmdptc_max.cathigh",0.7,"2.81e-01","0.4 to 1.3"
"nmdptc_n_decayed.catmed",0.6,"8.83e-02","0.4 to 1.1"
"nmdptc_n_decayed.cathigh",0.8,"5.02e-01","0.5 to 1.4"
"nmdptc_frac_decayed.catmed",0.7,"1.38e-01","0.4 to 1.1"
"nmdptc_frac_decayed.cathigh",0.7,"1.61e-01","0.4 to 1.2"
"nmdptc_med.catmed",0.9,"5.42e-01","0.5 to 1.4"
"nmdptc_med.cathigh",0.8,"4.96e-01","0.4 to 1.5"
"nmdptc_med.wt.catmed",0.7,"2.81e-01","0.4 to 1.3"
"nmdptc_med.wt.cathigh",0.8,"3.82e-01","0.4 to 1.4"
"nmdptc_mean.catmed",0.8,"4.17e-01","0.5 to 1.3"
"nmdptc_mean.cathigh",0.6,"1.22e-01","0.3 to 1.1"
"nmdptc_mean.wt.catmed",0.7,"2.72e-01","0.4 to 1.3"
"nmdptc_mean.wt.cathigh",0.7,"2.14e-01","0.4 to 1.2"
"nmdfs_max.catmed",1,"9.93e-01","0.5 to 1.9"
"nmdfs_max.cathigh",1.3,"4.01e-01","0.7 to 2.2"
"nmdfs_n_decayed.catmed",1,"9.62e-01","0.5 to 1.9"
"nmdfs_n_decayed.cathigh",1.1,"6.73e-01","0.7 to 1.8"
"nmdfs_frac_decayed.catmed",0.6,"2.53e-01","0.2 to 1.5"
"nmdfs_frac_decayed.cathigh",1,"8.86e-01","0.6 to 1.6"
"nmdfs_med.catmed",0.9,"8.03e-01","0.5 to 1.7"
"nmdfs_med.cathigh",1.2,"4.82e-01","0.7 to 2"
"nmdfs_med.wt.catmed",1,"9.84e-01","0.5 to 1.9"
"nmdfs_med.wt.cathigh",1.3,"3.96e-01","0.7 to 2.2"
"nmdfs_mean.catmed",0.9,"6.34e-01","0.5 to 1.6"
"nmdfs_mean.cathigh",1.2,"5.56e-01","0.7 to 2"
"nmdfs_mean.wt.catmed",0.9,"6.84e-01","0.5 to 1.6"
"nmdfs_mean.wt.cathigh",1.2,"5.43e-01","0.7 to 2"
"nmdns_max.catmed",0.7,"1.61e-01","0.4 to 1.2"
"nmdns_max.cathigh",0.7,"2.66e-01","0.4 to 1.3"
"nmdns_n_decayed.catmed",0.9,"5.42e-01","0.5 to 1.4"
"nmdns_n_decayed.cathigh",0.8,"4.95e-01","0.5 to 1.5"
"nmdns_frac_decayed.catmed",0.8,"3.93e-01","0.5 to 1.3"
"nmdns_frac_decayed.cathigh",0.8,"5.02e-01","0.5 to 1.5"
"nmdns_med.catmed",0.9,"6.91e-01","0.5 to 1.5"
"nmdns_med.cathigh",0.7,"3.55e-01","0.4 to 1.4"
"nmdns_med.wt.catmed",0.7,"1.91e-01","0.4 to 1.2"
"nmdns_med.wt.cathigh",0.7,"3.30e-01","0.4 to 1.3"
"nmdns_mean.catmed",0.9,"5.76e-01","0.5 to 1.4"
"nmdns_mean.cathigh",0.6,"1.03e-01","0.3 to 1.1"
"nmdns_mean.wt.catmed",0.7,"1.51e-01","0.4 to 1.1"
"nmdns_mean.wt.cathigh",0.6,"9.29e-02","0.3 to 1.1"
