"var","hr","pval","hr_ci95"
"gendermale",1.2,"5.35e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.47e-01","0.4 to 1.8"
"tnm_stageIV",1.7,"9.50e-02","0.9 to 3.2"
"nmdfs_med",1,"9.03e-01","0.8 to 1.2"
"age.cat>=65",2.4,"4.67e-03","1.3 to 4.4"
"gendermale",1.2,"5.29e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.34e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.72e-02","0.9 to 3.3"
"nmdfs_med.wt",1,"9.57e-01","0.8 to 1.3"
"age.cat>=65",2.4,"5.08e-03","1.3 to 4.4"
"gendermale",1.2,"5.35e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.40e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.13e-01","0.9 to 3.3"
"nmdfs_mean",1,"9.56e-01","0.8 to 1.2"
"age.cat>=65",2.4,"4.61e-03","1.3 to 4.4"
"gendermale",1.2,"5.32e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.38e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.03e-01","0.9 to 3.3"
"nmdfs_mean.wt",1,"9.84e-01","0.8 to 1.3"
"age.cat>=65",2.4,"4.91e-03","1.3 to 4.4"
"gendermale",1.2,"5.33e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.39e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.08e-01","0.9 to 3.3"
"nmdns_max",1,"9.87e-01","0.9 to 1.2"
"age.cat>=65",2.4,"4.61e-03","1.3 to 4.4"
"gendermale",1.2,"5.37e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.44e-01","0.4 to 1.8"
"tnm_stageIV",1.7,"9.99e-02","0.9 to 3.2"
"nmdns_n_decayed",1,"8.35e-01","1 to 1"
"age.cat>=65",2.4,"5.00e-03","1.3 to 4.4"
"gendermale",1.2,"5.15e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.34e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.33e-02","0.9 to 3.3"
"nmdns_frac_decayed",0.5,"2.03e-01","0.2 to 1.4"
"age.cat>=65",2.5,"2.86e-03","1.4 to 4.6"
"gendermale",1.2,"5.84e-01","0.7 to 2.1"
"tnm_stageIII",0.9,"7.81e-01","0.5 to 1.8"
"tnm_stageIV",1.8,"7.83e-02","0.9 to 3.3"
"nmdns_med",0.9,"6.98e-01","0.7 to 1.2"
"age.cat>=65",2.4,"4.20e-03","1.3 to 4.5"
"gendermale",1.2,"6.07e-01","0.6 to 2.2"
"tnm_stageIII",0.9,"7.28e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.12e-01","0.9 to 3.2"
"nmdns_med.wt",1,"8.86e-01","0.8 to 1.4"
"age.cat>=65",2.4,"4.79e-03","1.3 to 4.4"
"gendermale",1.2,"5.23e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.52e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.50e-02","0.9 to 3.3"
"nmdns_mean",1,"8.78e-01","0.8 to 1.3"
"age.cat>=65",2.4,"4.58e-03","1.3 to 4.4"
"gendermale",1.2,"5.63e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.35e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.09e-01","0.9 to 3.2"
"nmdns_mean.wt",1,"9.03e-01","0.8 to 1.4"
"age.cat>=65",2.4,"4.81e-03","1.3 to 4.4"
"gendermale",1.2,"5.26e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.50e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.57e-02","0.9 to 3.3"
"TNFRSF4_cna",1,"9.36e-01","0.7 to 1.5"
"age.cat>=65",2.4,"4.56e-03","1.3 to 4.4"
"gendermale",1.2,"5.30e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.34e-01","0.4 to 1.8"
"tnm_stageIV",1.7,"9.40e-02","0.9 to 3.2"
"CNKSR1_cna",0.8,"2.34e-01","0.5 to 1.2"
"age.cat>=65",2.4,"4.43e-03","1.3 to 4.4"
"gendermale",1.3,"4.32e-01","0.7 to 2.3"
"tnm_stageIII",0.9,"6.42e-01","0.4 to 1.7"
"tnm_stageIV",1.8,"7.34e-02","0.9 to 3.3"
"FUBP1_cna",1.2,"3.13e-01","0.8 to 1.7"
"age.cat>=65",2.5,"3.40e-03","1.4 to 4.6"
"gendermale",1.2,"5.43e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.08e-01","0.5 to 1.8"
"tnm_stageIV",1.8,"7.52e-02","0.9 to 3.3"
"IL10_cna",1.3,"1.47e-01","0.9 to 1.8"
"age.cat>=65",2.6,"2.22e-03","1.4 to 4.9"
"gendermale",1.2,"5.69e-01","0.7 to 2.1"
"tnm_stageIII",0.9,"6.87e-01","0.4 to 1.7"
"tnm_stageIV",1.6,"1.39e-01","0.9 to 3"
"IRF6_cna",1.2,"2.75e-01","0.9 to 1.6"
"age.cat>=65",2.6,"2.72e-03","1.4 to 4.8"
"gendermale",1.2,"5.20e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.20e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.10e-01","0.9 to 3.1"
"IRF6_mut",0.8,"7.85e-01","0.1 to 5.8"
"age.cat>=65",2.4,"4.38e-03","1.3 to 4.4"
"gendermale",1.2,"5.17e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.81e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.31e-02","0.9 to 3.2"
"DNMT3A_cna",1,"8.01e-01","0.7 to 1.4"
"age.cat>=65",2.4,"5.26e-03","1.3 to 4.4"
"gendermale",1.2,"5.42e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.82e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.18e-02","0.9 to 3.3"
"SOS1_cna",0.8,"3.30e-01","0.6 to 1.2"
"age.cat>=65",2.3,"7.15e-03","1.3 to 4.2"
"gendermale",1.2,"5.57e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.80e-01","0.5 to 1.9"
"tnm_stageIV",1.8,"6.58e-02","1 to 3.5"
"CASP8_cna",1.1,"7.67e-01","0.7 to 1.6"
"age.cat>=65",2.4,"4.36e-03","1.3 to 4.4"
"gendermale",1.2,"5.31e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.44e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.75e-02","0.9 to 3.2"
"CASP8_mut",2.7,"6.26e-02","0.9 to 7.5"
"age.cat>=65",2.4,"5.11e-03","1.3 to 4.3"
"gendermale",1.2,"5.88e-01","0.7 to 2.1"
"tnm_stageIII",0.8,"6.37e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"9.64e-02","0.9 to 3.2"
"CTLA4_cna",1,"9.46e-01","0.7 to 1.5"
"age.cat>=65",2.4,"5.48e-03","1.3 to 4.4"
