"var","hr","pval","hr_ci95"
"tnm_stageIV",13.1,"5.80e-11","6.1 to 28.2"
"tnm_stageX",6.2,"2.27e-04","2.4 to 16.5"
"nmdns_frac_decayed",0.8,"3.23e-01","0.5 to 1.2"
"age.cat>=65",2.6,"1.07e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.7,"5.41e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.61e-06","2.1 to 6.9"
"tnm_stageIV",13.8,"2.12e-11","6.4 to 29.7"
"tnm_stageX",6.2,"2.30e-04","2.3 to 16.3"
"nmdns_med",1,"8.50e-01","0.9 to 1.1"
"age.cat>=65",2.6,"1.12e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.44e-02","1 to 3.2"
"tnm_stageIII",3.8,"9.98e-06","2.1 to 6.9"
"tnm_stageIV",13.1,"5.56e-11","6.1 to 28.3"
"tnm_stageX",6.2,"2.31e-04","2.3 to 16.4"
"nmdns_med.wt",1,"8.37e-01","0.9 to 1.1"
"age.cat>=65",2.6,"1.12e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.44e-02","1 to 3.2"
"tnm_stageIII",3.8,"9.98e-06","2.1 to 6.9"
"tnm_stageIV",13.1,"5.58e-11","6.1 to 28.2"
"tnm_stageX",6.2,"2.30e-04","2.4 to 16.4"
"nmdns_mean",1,"8.11e-01","0.9 to 1.1"
"age.cat>=65",2.6,"1.12e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.43e-02","1 to 3.2"
"tnm_stageIII",3.8,"9.99e-06","2.1 to 6.9"
"tnm_stageIV",13.1,"5.89e-11","6.1 to 28.2"
"tnm_stageX",6.2,"2.27e-04","2.4 to 16.4"
"nmdns_mean.wt",1,"8.31e-01","0.9 to 1.1"
"age.cat>=65",2.6,"1.12e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.44e-02","1 to 3.2"
"tnm_stageIII",3.8,"9.98e-06","2.1 to 6.9"
"tnm_stageIV",13.1,"5.64e-11","6.1 to 28.2"
"tnm_stageX",6.2,"2.29e-04","2.4 to 16.4"
"TNFRSF4_cna",1,"8.14e-01","0.8 to 1.3"
"age.cat>=65",2.6,"1.62e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.50e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.07e-05","2.1 to 6.9"
"tnm_stageIV",13.1,"4.76e-11","6.1 to 28.2"
"tnm_stageX",6.1,"2.68e-04","2.3 to 16.2"
"CNKSR1_cna",1,"8.41e-01","0.8 to 1.4"
"age.cat>=65",2.6,"1.31e-07","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.40e-02","1 to 3.2"
"tnm_stageIII",3.8,"9.96e-06","2.1 to 7"
