"var","UCEC_rho","UCEC_rho_pval","UCEC_LH_meddelta","UCEC_LH_pval"
"MUC17_mut",0.0732196867465973,0.257514233024958,0,0.361798928839963
"MET_cna",0.0688824504613876,0.286853723658797,0,0.265097174915303
"MET_mut",0.141342550516129,0.0282466469077638,0,0.361798928839963
"IDO1_cna",-0.104090102016926,0.106985209167168,0,0.392107002922589
"IDO1_mut",0.0797939822077751,0.2171044119109,0,1
"JAK2_cna",0.0829857438802719,0.199210999894152,0,0.195915245109529
"JAK2_mut",0.0793121755123138,0.219902258508728,0,0.361798928839963
"CD274_cna",0.0829857438802719,0.199210999894152,0,0.195915245109529
"COL5A1_cna",0.0980839878320694,0.128908574629747,0,0.0681618618857766
"COL5A1_mut",0.168935552239418,0.00859228071392648,0,0.380110833700957
"ARID5B_cna",-0.02945327013731,0.649138597651543,0,0.870392184457597
"ARID5B_mut",0.0252223089337349,0.696845836912478,0,0.603852824514794
"OVOL1_cna",-0.0667946040630341,0.301747266143168,0,0.0694107011632435
"LAG3_cna",0.0441531501710415,0.495105980993297,0,0.534804376703944
"ARID2_cna",0.0283882580697536,0.661022864330631,0,0.741570906959155
"ARID2_mut",0.124408803880215,0.0537553811852158,0,0.61117008330691
"IFNG_cna",0.0783256441354752,0.225711039491637,0,0.580602268410523
"IFNG_mut",0.110412605106831,0.0871944847905199,0,1
"TCP11L2_cna",0.0378054566681385,0.55918264227752,0,0.381605045893539
"TCP11L2_mut",0.137445867061615,0.0329434012750016,0,0.214850009176397
"B2M_cna",0.217030927538872,0.000693257892662835,0,0.00766361645860182
"B2M_mut",0.0398969911038876,0.537635065352916,NA,NA
"TP53_cna",0.161306157708168,0.0121565065735001,0,0.0472230308707691
"TP53_mut",-0.0351251140236855,0.587390875836707,0,0.172992938280645
"TMEM88_cna",0.161306157708168,0.0121565065735001,0,0.0472230308707691
"MYOCD_cna",0.135688588023186,0.0352697546971479,0,0.0530531314136449
"MYOCD_mut",0.137414246797562,0.0329840787743354,0,0.361798928839963
"NCOR1_cna",0.1396644115448,0.0301939609911033,0,0.0583263732744179
"NCOR1_mut",0.176396548748016,0.00603751415005194,0,0.214850009176397
"NF1_cna",0.0745735615491867,0.248795247663419,0,0.0516097706763799
"NF1_mut",0.0541293025016785,0.402841428099111,0,0.603987557954683
"ALPK2_cna",-0.0184218231588602,0.776011235729821,0,0.428305174771995
