"var","hr","pval","hr_ci95"
"tnm_stageIV",1.4,"6.56e-01","0.3 to 5.8"
"nmdns_max",1,"4.97e-01","0.9 to 1.1"
"age.cat>=65",1.2,"4.16e-01","0.7 to 2.1"
"gendermale",1.6,"7.83e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.90e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.63e-01","0.8 to 2.7"
"tnm_stageIV",1.5,"5.81e-01","0.3 to 6.5"
"nmdns_n_decayed",1,"5.37e-01","1 to 1"
"age.cat>=65",1.2,"4.00e-01","0.7 to 2.1"
"gendermale",1.6,"7.10e-02","1 to 2.7"
"tnm_stageII",1.1,"7.41e-01","0.6 to 2"
"tnm_stageIII",1.5,"2.10e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.70e-01","0.3 to 5.7"
"nmdns_frac_decayed",0.6,"2.83e-01","0.3 to 1.5"
"age.cat>=65",1.3,"3.33e-01","0.8 to 2.1"
"gendermale",1.6,"8.34e-02","0.9 to 2.7"
"tnm_stageII",1.1,"7.39e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.72e-01","0.8 to 2.6"
"tnm_stageIV",1.5,"5.70e-01","0.4 to 6.5"
"nmdns_med",0.9,"5.70e-01","0.7 to 1.2"
"age.cat>=65",1.3,"3.57e-01","0.8 to 2.1"
"gendermale",1.6,"7.33e-02","1 to 2.7"
"tnm_stageII",1.1,"6.99e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.66e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.44e-01","0.3 to 5.9"
"nmdns_med.wt",1.2,"4.14e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.68e-01","0.8 to 2.2"
"gendermale",1.6,"8.09e-02","0.9 to 2.7"
"tnm_stageII",1.2,"6.10e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.49e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.65e-01","0.3 to 5.7"
"nmdns_mean",0.9,"3.68e-01","0.7 to 1.1"
"age.cat>=65",1.3,"3.88e-01","0.8 to 2.1"
"gendermale",1.6,"7.85e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.83e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.58e-01","0.9 to 2.7"
"tnm_stageIV",1.5,"5.68e-01","0.4 to 6.5"
"nmdns_mean.wt",1.1,"5.08e-01","0.8 to 1.6"
"age.cat>=65",1.3,"2.79e-01","0.8 to 2.2"
"gendermale",1.6,"7.93e-02","0.9 to 2.7"
"tnm_stageII",1.2,"6.22e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.55e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.80e-01","0.3 to 5.7"
"TNFRSF4_cna",1.2,"2.35e-01","0.9 to 1.6"
"age.cat>=65",1.3,"3.47e-01","0.8 to 2.1"
"gendermale",1.6,"6.64e-02","1 to 2.7"
"tnm_stageII",1.1,"6.83e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.62e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.34e-01","0.3 to 5.9"
"CNKSR1_cna",1.2,"4.22e-01","0.8 to 1.6"
"age.cat>=65",1.3,"3.52e-01","0.8 to 2.1"
"gendermale",1.6,"6.12e-02","1 to 2.8"
"tnm_stageII",1.1,"6.91e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.80e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.56e-01","0.3 to 5.8"
"FUBP1_cna",0.9,"5.81e-01","0.7 to 1.3"
"age.cat>=65",1.3,"2.99e-01","0.8 to 2.2"
"gendermale",1.5,"1.09e-01","0.9 to 2.6"
"tnm_stageII",1.1,"6.73e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.73e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.51e-01","0.3 to 5.8"
"FUBP1_mut",1.2,"5.92e-01","0.6 to 2.5"
"age.cat>=65",1.3,"3.47e-01","0.8 to 2.1"
"gendermale",1.6,"8.31e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.78e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.70e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.62e-01","0.3 to 5.8"
"IL10_cna",1,"9.57e-01","0.7 to 1.4"
"age.cat>=65",1.3,"3.21e-01","0.8 to 2.1"
"gendermale",1.6,"7.56e-02","1 to 2.7"
"tnm_stageII",1.1,"6.61e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.66e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.73e-01","0.3 to 5.8"
"IRF6_cna",1.1,"7.93e-01","0.7 to 1.5"
"age.cat>=65",1.3,"3.22e-01","0.8 to 2.1"
"gendermale",1.6,"7.43e-02","1 to 2.7"
"tnm_stageII",1.1,"6.73e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.70e-01","0.8 to 2.7"
"tnm_stageIV",1.3,"7.05e-01","0.3 to 5.6"
"IRF6_mut",0.7,"5.88e-01","0.2 to 2.4"
"age.cat>=65",1.3,"3.52e-01","0.8 to 2.1"
"gendermale",1.6,"8.38e-02","0.9 to 2.7"
