"var","SKCM_rho","SKCM_rho_pval","SKCM_LH_meddelta","SKCM_LH_pval"
"PDCD1_cna",0.0116928014904261,0.829413763520409,0,0.460780937552061
"SLC22A14_cna",0.0330167785286903,0.542844127519757,0,0.228817706013097
"SLC22A14_mut",0.0372265800833702,0.492613757241873,NA,NA
"PIK3CA_cna",0.111164137721062,0.0399146690939629,0,0.13423877331726
"PIK3CA_mut",0.0649991258978844,0.230562199930732,0,1
"CXCL9_cna",-0.0576026514172554,0.288125868437656,0,0.399007071530547
"CXCL10_cna",-0.0576026514172554,0.288125868437656,0,0.399007071530547
"CXCL11_cna",-0.0576026514172554,0.288125868437656,0,0.399007071530547
"TET2_cna",-0.101704776287079,0.060266405950395,0,0.112399967908613
"IL2_cna",-0.0915690958499908,0.090881990586186,0,0.239588160751987
"IL2_mut",-0.0167297329753637,0.757872424963089,NA,NA
"IRF1_cna",0.0654993578791618,0.226986299432426,0,0.52036548841687
"HAVCR2_cna",0.062555804848671,0.248600827237519,0,0.457045918713439
"HAVCR2_mut",-0.0416494682431221,0.44263752793031,0,1
"TAP1_cna",-0.0320573858916759,0.554636752576407,0,0.414876277840662
"TAP1_mut",-0.00685644801706076,0.899466583357651,NA,NA
"IFNGR1_cna",-0.0151972463354468,0.779451742160958,0,0.909024118488421
"IFNGR1_mut",-0.000274257938144729,0.995968027579718,NA,NA
"MUC17_cna",0.0670034438371658,0.216472051379248,0,0.682501855867221
"MUC17_mut",0.13786156475544,0.0106992345059793,0,0.383487047855659
"MET_cna",0.0757600143551826,0.162134510444658,0.5,0.739579377287277
"MET_mut",0.0694272145628929,0.200271104297241,0,1
"IDO1_cna",0.0674347430467606,0.213522499455767,0,0.560631591073967
"IDO1_mut",-0.0167297329753637,0.757872424963089,NA,NA
"JAK2_cna",0.00677706534042954,0.900624494519456,0,0.711265488086269
"JAK2_mut",-0.0400082133710384,0.460837744533,NA,NA
"CD274_cna",0.0124217411503196,0.818957469558239,0,0.444350066343365
"CD274_mut",0.0167297329753637,0.757872424963089,NA,NA
"COL5A1_cna",-0.0427006334066391,0.431199252002505,0,0.78442311147533
"COL5A1_mut",0.00552707491442561,0.918883600292852,0,0.604717415445648
"ARID5B_cna",-0.0494637973606586,0.361792240586097,0,0.567534788797208
"ARID5B_mut",-0.0243115425109863,0.654139178136752,0,1
"OVOL1_cna",-0.0630101263523102,0.24517434830305,0,0.369056312533258
"OVOL1_mut",0.0534802973270416,0.324079629456518,0,1
"LAG3_cna",-0.0613798089325428,0.257624546345962,0,0.749097386539415
"ARID2_cna",-0.0104785021394491,0.846898416564495,0,0.928294814428251
"ARID2_mut",0.00318427826277912,0.953213216880333,0,0.708363758882003
"IFNG_cna",-0.0435672104358673,0.421899250081524,0,0.725771202781803
"IFNG_mut",0.0563424490392208,0.298820866110391,0,1
"TCP11L2_cna",-0.0197649002075195,0.715697870970027,0,0.765949420772089
"TCP11L2_mut",-0.0167297329753637,0.757872424963089,NA,NA
"B2M_cna",0.0296462383121252,0.584813046623707,0,0.329950114150824
"B2M_mut",0.0507350228726864,0.349570588851049,0,0.363525889429645
"TP53_cna",-0.086469404399395,0.110436086648345,0,0.215892620663281
"TP53_mut",-0.02173912525177,0.688712894539126,0,0.715330021207148
"TMEM88_cna",-0.086246944963932,0.111359070465847,0,0.200068642535563
"MYOCD_cna",-0.0962733998894691,0.0754003884057783,0,0.154153473247512
"MYOCD_mut",0.0342458039522171,0.527921233741086,0,1
"NCOR1_cna",-0.0964018255472183,0.0750098622598465,0,0.197611325416032
"NCOR1_mut",0.00955598708242178,0.860232505200949,0,0.367879441171442
"NF1_cna",-0.0190889425575733,0.725021222397831,0,0.52653776316842
"NF1_mut",-0.0365713201463223,0.500265732578352,0,0.704944130674878
"ALPK2_cna",0.0252337213605642,0.641917928078061,0,0.673870309268208
"ALPK2_mut",-0.0545773282647133,0.314239176029614,0,1
"LPAR2_cna",-0.0309598948806524,0.56827797037443,0,0.21036708986332
"TGFB1_cna",0.0191128980368376,0.724690104946298,0,0.220945653899932
"CIC_cna",0.0327726341784,0.545833258079187,0,0.234606839627641
"CSNK2A1_cna",-0.00564841320738196,0.917109139881041,0,0.647292735715097
"CSNK2A1_mut",0.00630793208256364,0.907471699995231,NA,NA
"ASXL1_cna",0.0518531575798988,0.33903912975545,0,0.30892628600399
"IFNGR2_cna",-0.068078450858593,0.209174217048091,0,0.250420096693679
"IFNGR2_mut",0.0404963679611683,0.455381407463074,0,1
"EP300_cna",-0.0192972347140312,0.722143885277154,0,0.57564410894622
"EP300_mut",-0.0189237967133522,0.727305291604975,NA,NA
"DDX3X_cna",0.109163202345371,0.0436513680695474,0,5.41684798517081e-05
"DDX3X_mut",-0.0269092321395874,0.619960145332715,0,1
"SSX5_cna",0.117587134242058,0.0296935946303698,0,2.14941146511534e-05
"FOXP3_cna",0.120221957564354,0.0262007446979284,0,2.14941146511534e-05
"SMC1A_cna",0.106969282031059,0.0480822124755429,0,2.14941146511534e-05
"SMC1A_mut",0.0814546048641205,0.132750409019479,0,1
"MORC4_cna",0.085523322224617,0.114403350957438,0,0.0678668618128701
"CUL4B_cna",0.0839070454239845,0.121438334376869,0,0.0749481601993049
"CUL4B_mut",-0.0798090547323227,0.140784769988238,0,0.322970449706676
"cyt.cat",0.919448733329773,0,NA,NA
"cyt.bool",0.866040050983429,0,NA,NA
