"var","hr","pval","hr_ci95"
"nmdfs_n_decayed",1,"1.63e-01","1 to 1"
"age.cat>=65",1.6,"3.06e-01","0.7 to 3.6"
"gendermale",0.7,"2.60e-01","0.4 to 1.3"
"tnm_stageII",2.8,"1.79e-01","0.6 to 13"
"tnm_stageIII",4.7,"4.43e-02","1 to 20.9"
"tnm_stageIV",11.6,"1.25e-03","2.6 to 51.2"
"nmdfs_frac_decayed",1,"9.21e-01","0.4 to 2.6"
"age.cat>=65",1.7,"2.07e-01","0.7 to 3.9"
"gendermale",0.7,"2.11e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.10e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"nmdfs_med",0.9,"4.56e-01","0.7 to 1.2"
"age.cat>=65",1.7,"2.32e-01","0.7 to 3.8"
"gendermale",0.7,"2.27e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.85e-01","0.6 to 12.9"
"tnm_stageIII",4.6,"4.74e-02","1 to 20.4"
"tnm_stageIV",11.8,"1.14e-03","2.7 to 52.4"
"nmdfs_med.wt",0.8,"2.96e-01","0.6 to 1.2"
"age.cat>=65",1.6,"2.46e-01","0.7 to 3.8"
"gendermale",0.7,"2.38e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.85e-01","0.6 to 12.9"
"tnm_stageIII",4.5,"4.92e-02","1 to 20.2"
"tnm_stageIV",11.7,"1.19e-03","2.6 to 51.8"
"nmdfs_mean",0.9,"5.02e-01","0.7 to 1.2"
"age.cat>=65",1.7,"2.27e-01","0.7 to 3.8"
"gendermale",0.7,"2.17e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.90e-01","0.6 to 12.7"
"tnm_stageIII",4.6,"4.74e-02","1 to 20.4"
"tnm_stageIV",11.8,"1.14e-03","2.7 to 52.5"
"nmdfs_mean.wt",0.8,"3.14e-01","0.6 to 1.2"
"age.cat>=65",1.6,"2.47e-01","0.7 to 3.8"
"gendermale",0.7,"2.38e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.86e-01","0.6 to 12.8"
"tnm_stageIII",4.5,"4.89e-02","1 to 20.2"
"tnm_stageIV",11.7,"1.20e-03","2.6 to 51.7"
"nmdns_max",1,"9.99e-01","0.9 to 1.1"
"age.cat>=65",1.7,"2.10e-01","0.7 to 3.9"
"gendermale",0.7,"2.18e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.05e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.98e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.8"
"nmdns_n_decayed",1,"4.46e-01","1 to 1"
"age.cat>=65",1.7,"1.97e-01","0.8 to 4"
"gendermale",0.7,"2.64e-01","0.4 to 1.3"
"tnm_stageII",2.7,"2.09e-01","0.6 to 12.2"
"tnm_stageIII",4.6,"4.67e-02","1 to 20.6"
"tnm_stageIV",12,"1.06e-03","2.7 to 53.2"
"nmdns_frac_decayed",1.5,"3.46e-01","0.6 to 3.7"
"age.cat>=65",1.7,"1.97e-01","0.8 to 4"
"gendermale",0.6,"1.75e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.90e-01","0.6 to 12.8"
"tnm_stageIII",4.6,"4.77e-02","1 to 20.4"
"tnm_stageIV",11.9,"1.13e-03","2.7 to 52.6"
"nmdns_med",1.2,"3.57e-01","0.8 to 1.6"
"age.cat>=65",1.7,"2.29e-01","0.7 to 3.8"
"gendermale",0.6,"1.69e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.88e-01","0.6 to 12.8"
"tnm_stageIII",4.6,"4.74e-02","1 to 20.4"
"tnm_stageIV",11.6,"1.29e-03","2.6 to 51.5"
"nmdns_med.wt",1.1,"7.76e-01","0.7 to 1.6"
"age.cat>=65",1.7,"2.19e-01","0.7 to 3.9"
"gendermale",0.6,"2.03e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.01e-01","0.6 to 12.4"
"tnm_stageIII",4.5,"4.94e-02","1 to 20.1"
"tnm_stageIV",11.6,"1.28e-03","2.6 to 51.5"
"nmdns_mean",1.2,"3.87e-01","0.8 to 1.6"
"age.cat>=65",1.7,"2.32e-01","0.7 to 3.8"
"gendermale",0.6,"1.76e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.91e-01","0.6 to 12.7"
"tnm_stageIII",4.5,"4.83e-02","1 to 20.3"
"tnm_stageIV",11.7,"1.24e-03","2.6 to 51.8"
"nmdns_mean.wt",1.1,"7.62e-01","0.7 to 1.6"
"age.cat>=65",1.7,"2.21e-01","0.7 to 3.9"
"gendermale",0.6,"2.02e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.01e-01","0.6 to 12.4"
"tnm_stageIII",4.5,"4.95e-02","1 to 20.1"
"tnm_stageIV",11.6,"1.28e-03","2.6 to 51.5"
"TNFRSF4_cna",1.6,"7.91e-02","0.9 to 2.8"
"age.cat>=65",1.7,"2.04e-01","0.7 to 4"
"gendermale",0.6,"2.01e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.18e-01","0.6 to 12"
"tnm_stageIII",4.5,"4.90e-02","1 to 20.2"
"tnm_stageIV",12.3,"9.84e-04","2.8 to 54.5"
"TNFRSF4_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.7,"2.06e-01","0.7 to 3.9"
"gendermale",0.7,"2.17e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.02e-01","0.6 to 12.4"
"tnm_stageIII",4.5,"4.96e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"CNKSR1_cna",1.4,"3.76e-01","0.7 to 2.7"
"age.cat>=65",1.7,"2.25e-01","0.7 to 3.8"
"gendermale",0.7,"2.25e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.30e-01","0.6 to 11.7"
"tnm_stageIII",4.5,"4.97e-02","1 to 20.1"
