"var","HNSC_rho","HNSC_rho_pval","HNSC_LH_meddelta","HNSC_LH_pval"
"TP53_cna",0.0481096282601357,0.423452970641593,0,0.0866946660280282
"TP53_mut",-0.111433133482933,0.0630644538901675,0,0.0308305828671468
"TMEM88_cna",0.0294677261263132,0.624059794449975,0,0.045745063972403
"MYOCD_cna",0.0228850916028023,0.703507439277103,0,0.0080009137019064
"MYOCD_mut",0.0409571267664433,0.495660515084014,NA,NA
"NCOR1_cna",-0.0238155517727137,0.69205457545624,0,0.00860362167537941
"NCOR1_mut",0.046914529055357,0.435073749337139,NA,NA
"NF1_cna",-0.0985091403126717,0.100582554930754,0,0.0272728560844962
"NF1_mut",0.0364890769124031,0.543881712360258,NA,NA
"ALPK2_cna",0.273593455553055,3.51469436821183e-06,1,1.91530975726172e-06
"ALPK2_mut",0.0369260087609291,0.539065744672187,NA,NA
"LPAR2_cna",0.0563836731016636,0.348084374906356,0,0.76211343542307
"TGFB1_cna",0.124931536614895,0.0370169476753135,0,0.0825178592790541
"CIC_cna",0.101525522768497,0.0905367450173555,0,0.126211818852651
"CIC_mut",-0.0387231037020683,0.519483915594138,NA,NA
"CSNK2A1_cna",-0.111258648335934,0.0634809126693554,-0.5,0.0428521268670402
"CSNK2A1_mut",0.0381850227713585,0.525308530042609,0,1
"ASXL1_cna",-0.158909380435944,0.00783003936809257,-1,0.00300195506841427
"ASXL1_mut",-0.1092149913311,0.0685290170242838,0,0.243099419827781
"IFNGR2_cna",0.116421118378639,0.0520770968945934,0,0.446820343862607
"IFNGR2_mut",-0.0312763527035713,0.602924218571941,NA,NA
"EP300_cna",-0.0748196840286255,0.212811636738892,0,0.000661655063238969
"EP300_mut",0.077189713716507,0.198634167947486,0,0.604321078700979
"DDX3X_cna",0.2280662804842,0.00012147768709192,0,0.000813080510261134
"DDX3X_mut",0.00595740042626858,0.921088775621791,NA,NA
"SSX5_cna",0.225566044449806,0.000144773712026591,0,0.000768784920187131
"FOXP3_cna",0.221506789326668,0.000191693958546235,0,0.000768784920187131
"SMC1A_cna",0.145701795816422,0.0148594813803653,0,0.00166951463598772
"MORC4_cna",-0.0631467625498772,0.293225149009191,0,0.0458662301068648
"MORC4_mut",0.0141879664734006,0.813484133514504,NA,NA
"CUL4B_cna",-0.0929273068904877,0.121483670011865,0,0.227097732028429
"CUL4B_mut",0.0208509024232626,0.728777022604723,NA,NA
"cyt.cat",0.91910982131958,0,NA,NA
"cyt.bool",0.866047501564026,0,NA,NA
