"","cancertype","nmdmetric","diff","pval","qval"
"39","CESC","nmdfs_mean",0.796696278769286,0.00896446512682426,0.0353860465532537
"40","CESC","nmdfs_mean.wt",0.945602649442306,0.0116241006130912,0.0421842360958955
"41","CESC","nmdns_frac_decayed",0.1249387366083,0.213749789154327,0.40414876100608
"42","CESC","nmdns_med",0.40341119186973,0.00347079525399992,0.0190470471256093
"43","CESC","nmdns_med.wt",0.657960102169554,0.00849403673383469,0.0341278261627286
"44","CESC","nmdns_mean",0.414160147393731,0.0783907828973233,0.198178945526941
"45","CESC","nmdns_mean.wt",0.551368111480369,0.0218097239928656,0.071118665194127
"46","COADREAD","nmdptc_frac_decayed",-0.0747343894676336,0.631812248492637,0.795878901968426
"47","COADREAD","nmdptc_med",0.185047807258897,0.0369400742226557,0.112317793244561
"48","COADREAD","nmdptc_med.wt",0.982548523298663,1.84511080123667e-07,5.18937412847813e-06
"49","COADREAD","nmdptc_mean",0.001223324986934,0.916954651467487,0.964882240111578
"50","COADREAD","nmdptc_mean.wt",0.923202368333169,1.65560939704721e-05,0.000248341409557081
"51","COADREAD","nmdfs_frac_decayed",0.0515691405515152,0.029285064798085,0.0928047828108327
"52","COADREAD","nmdfs_med",1.06286848158129,1.97303904540834e-06,3.41487527089905e-05
"53","COADREAD","nmdfs_med.wt",2.05550842050872,2.74306690890629e-09,6.17190054503916e-07
"54","COADREAD","nmdfs_mean",0.807632605362989,0.000168315285972222,0.00210394107465277
"55","COADREAD","nmdfs_mean.wt",1.97424386072748,1.97576671440452e-08,1.38897730770695e-06
"56","COADREAD","nmdns_frac_decayed",-0.0279633930791886,0.124458564191643,0.281696951011166
"57","COADREAD","nmdns_med",0.184686417742019,0.0777761174150779,0.198178945526941
"58","COADREAD","nmdns_med.wt",0.988183799267415,7.02457489901608e-07,1.75614372475402e-05
"59","COADREAD","nmdns_mean",0.0543124442737364,0.275826364592776,0.496487456266997
"60","COADREAD","nmdns_mean.wt",0.846983476195668,1.39672839349443e-06,2.85694444123861e-05
"61","GBMLGG","nmdptc_frac_decayed",-0.0791812460476249,0.0939040484020696,0.232180339455667
"62","GBMLGG","nmdptc_med",0.0600189583745483,0.865156557344824,0.957199813501515
"63","GBMLGG","nmdptc_med.wt",-0.16291125775535,0.424021084028036,0.642076976696979
"64","GBMLGG","nmdptc_mean",-0.0176569043166756,0.55522715336494,0.744882640755229
"65","GBMLGG","nmdptc_mean.wt",-0.272542350032528,0.490155536314997,0.693616324974052
"66","GBMLGG","nmdfs_frac_decayed",0,0.806584256874555,0.921225674095304
"67","GBMLGG","nmdfs_med",0.164170942165266,0.893170051115054,0.964882240111578
"68","GBMLGG","nmdfs_med.wt",0.249673751065851,0.88854923976693,0.964882240111578
"69","GBMLGG","nmdfs_mean",0.111653469053974,0.582946028531424,0.758166800113123
"70","GBMLGG","nmdfs_mean.wt",0.232055128515236,0.802930245683466,0.921225674095304
"71","GBMLGG","nmdns_frac_decayed",0,0.281758264211001,0.503139757519645
"72","GBMLGG","nmdns_med",0.0395265266805754,0.654943380110027,0.81415613549589
"73","GBMLGG","nmdns_med.wt",-0.0732285473328994,0.5936446371587,0.763257390632614
"74","GBMLGG","nmdns_mean",-0.0589049920981009,0.306303219728123,0.529752645562686
"75","GBMLGG","nmdns_mean.wt",-0.0929410649074385,0.428051317797986,0.642076976696979
"76","HNSC","nmdptc_frac_decayed",-0.0480313044360355,0.0446608741561578,0.124057983767105
"77","HNSC","nmdptc_med",0.0583436069157025,0.654400958594495,0.81415613549589
"78","HNSC","nmdptc_med.wt",0.163888606642328,0.308433762527608,0.529752645562686
"79","HNSC","nmdptc_mean",0.0561937968006477,0.714538265452948,0.850640792205891
"80","HNSC","nmdptc_mean.wt",0.102231909068875,0.952959797319974,0.974617974531791
"81","HNSC","nmdfs_frac_decayed",-0.0511525224473813,0.125123171667105,0.281696951011166
"82","HNSC","nmdfs_med",0.0281275358247733,0.845578732251083,0.945489984806233
"83","HNSC","nmdfs_med.wt",0.190796927003161,0.633165882010436,0.795878901968426
"84","HNSC","nmdfs_mean",0.065047145451911,0.671204506995291,0.823744478750588
"85","HNSC","nmdfs_mean.wt",0.206915201533458,0.343685227148528,0.564032675386592
"86","HNSC","nmdns_frac_decayed",-0.0612542154915248,0.0824696408970272,0.206174102242568
