"","cancertype","nmdmetric","diff","pval","qval"
"65","GBMLGG","nmdfs_mean.wt",0.458908495517244,0.531952946799491,0.796347544515836
"66","GBMLGG","nmdns_frac_decayed",0,0.613774554425884,0.838698148904935
"67","GBMLGG","nmdns_med",-0.134476642511574,0.365798933344322,0.692757534862798
"68","GBMLGG","nmdns_med.wt",-0.17548669393978,0.538459362615798,0.796347544515836
"69","GBMLGG","nmdns_mean",-0.28751844218632,0.331441474959457,0.687461392715615
"70","GBMLGG","nmdns_mean.wt",-0.238887407204377,0.538459362615798,0.796347544515836
"71","HNSC","nmdptc_frac_decayed",0,0.543634076112814,0.796347544515836
"72","HNSC","nmdptc_med",0.341409462932093,0.122877550348667,0.450551017945113
"73","HNSC","nmdptc_med.wt",0.830848448082043,0.00264498018028185,0.0279883595748413
"74","HNSC","nmdptc_mean",0.054960954530039,0.734570948948356,0.918213686185445
"75","HNSC","nmdptc_mean.wt",0.537291431177436,0.105514451515586,0.42843081646548
"76","HNSC","nmdfs_frac_decayed",0.1249387366083,0.121939404322705,0.450551017945113
"77","HNSC","nmdfs_med",0.196356034140802,0.285886411643645,0.635303136985879
"78","HNSC","nmdfs_med.wt",0.764284694210944,0.0449606823161568,0.215985387021541
"79","HNSC","nmdfs_mean",0.124577735733521,0.379337180224772,0.706575150480053
"80","HNSC","nmdfs_mean.wt",0.716701164268109,0.0451605809226858,0.215985387021541
"81","HNSC","nmdns_frac_decayed",-0.176091259055681,0.214901981468559,0.546062487565597
"82","HNSC","nmdns_med",0.142361451280052,0.986965989754558,1
"83","HNSC","nmdns_med.wt",0.870716583562268,0.0508785117775882,0.2381547359802
"84","HNSC","nmdns_mean",0.114030452338075,0.809813160073185,0.937991390403514
"85","HNSC","nmdns_mean.wt",0.611917527800873,0.0866266772873225,0.36649748083098
"86","KIPAN","nmdptc_frac_decayed",-0.0511525224473813,0.83613279432247,0.943329306415095
"87","KIPAN","nmdptc_med",0.195824060025918,0.345056336940789,0.687461392715615
"88","KIPAN","nmdptc_med.wt",0.678113291821058,0.214550718533265,0.546062487565597
"89","KIPAN","nmdptc_mean",0.039821182731013,0.834609530808595,0.943329306415095
"90","KIPAN","nmdptc_mean.wt",0.490097341493399,0.211684931316945,0.546062487565597
"91","KIPAN","nmdfs_frac_decayed",-0.0669467896306132,0.541869323892462,0.796347544515836
"92","KIPAN","nmdfs_med",0.18345097562296,0.271439588939579,0.615636181100075
"93","KIPAN","nmdfs_med.wt",0.306340234568221,0.220480972872124,0.549313358302122
"94","KIPAN","nmdfs_mean",0.039620691355277,0.855173760916965,0.943911334781854
"95","KIPAN","nmdfs_mean.wt",0.168017323619499,0.784252373089337,0.927610333761581
"96","KIPAN","nmdns_frac_decayed",0,0.538756112534696,0.796347544515836
"97","KIPAN","nmdns_med",-0.0387564797212119,0.728487976070663,0.918213686185445
"98","KIPAN","nmdns_med.wt",0.133402794845191,0.965023673037341,0.992080411533715
"99","KIPAN","nmdns_mean",-0.0985517530838386,0.665075959926334,0.876306285313096
"100","KIPAN","nmdns_mean.wt",0.116344000544241,0.927393466395394,0.979419652683721
"101","LUAD","nmdptc_frac_decayed",0.0296521372334635,0.679378663840954,0.879195917911823
"102","LUAD","nmdptc_med",0.13495683513216,0.227267774178529,0.555543447991961
"103","LUAD","nmdptc_med.wt",0.41293088141505,0.0523839242374712,0.240092986088409
"104","LUAD","nmdptc_mean",0.223171933317327,0.767137210615471,0.927610333761581
"105","LUAD","nmdptc_mean.wt",0.169687900383507,0.47738621531725,0.77796272125774
"106","LUAD","nmdfs_frac_decayed",0.0484550065040282,0.346492172985538,0.687461392715615
"107","LUAD","nmdfs_med",0.0769620017812189,0.191996611341611,0.508906680664511
"108","LUAD","nmdfs_med.wt",0.267182892337267,0.150435376979999,0.46658635498678
"109","LUAD","nmdfs_mean",0.201070858930656,0.172061256058106,0.489004612497863
"110","LUAD","nmdfs_mean.wt",0.010730700798195,0.655483979621911,0.876306285313096
"111","LUAD","nmdns_frac_decayed",-0.0197728915088852,0.776218697592349,0.927610333761581
"112","LUAD","nmdns_med",0.456610007585532,0.337370734122964,0.687461392715615
"113","LUAD","nmdns_med.wt",0.436867077500674,0.264739817107672,0.61241618069557
"114","LUAD","nmdns_mean",0.271264944043563,0.471907962461246,0.774774266727419
"115","LUAD","nmdns_mean.wt",0.257436756610391,0.655969288406984,0.876306285313096
"116","LUSC","nmdptc_frac_decayed",-0.155394916476569,0.0683509268951519,0.300744078338669
"117","LUSC","nmdptc_med",-0.12496547391939,0.945221445221445,0.99023199023199
"118","LUSC","nmdptc_med.wt",-0.0690888156154121,0.835664335664336,0.943329306415095
"119","LUSC","nmdptc_mean",-0.493709136451283,0.222222222222222,0.549313358302122
"120","LUSC","nmdptc_mean.wt",-0.260065326187275,0.170940170940171,0.489004612497863
